match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
15537,8532,Gerard Labinski,4145,Thiago Sa,L,0,Referee Decision,Grand Slam LDN,110KG,F,2018
17078,8532,Gerard Labinski,,Joao Oliveira,L,0,Points,Vitoria Open,94KG,SF,2018
17629,8532,Gerard Labinski,4521,Erberth Santos,L,0,Pts: 2x0,King of Mats,110KG,RR,2018
17635,8532,Gerard Labinski,3200,Jackson Sousa,L,0,Pts: 2x0,King of Mats,110KG,RR,2018
18373,8532,Gerard Labinski,9117,Hygor Brito,L,0,Pts: 2x0,South American,94KG,F,2018
18931,8532,Gerard Labinski,8514,Fellipe Andrew,L,0,Triangle armbar,European Open,100KG,4F,2019
20330,8532,Gerard Labinski,9180,Vinicius Trator,L,0,Referee Decision,Brasileiro,94KG,SF,2019
20683,8532,Gerard Labinski,7478,Adam Wardzinski,L,0,Pts: 9x0,World Champ.,94KG,R1,2019
20746,8532,Gerard Labinski,3200,Jackson Sousa,L,0,Pts: 4x2,King of Mats,110KG,RR,2019
20749,8532,Gerard Labinski,2403,Joao Rocha,L,0,Pts: 5x0,King of Mats,110KG,RR,2019
21052,8532,Gerard Labinski,7704,Helton Jose,L,0,Referee Decision,ACB World Champ.,95KG,4F,2019
21705,8532,Gerard Labinski,1534,R. Evangelista,L,0,Pts: 4x2,Grand Slam LA,120KG,F,2019
22349,8532,Gerard Labinski,,Rafael Massage,L,0,Referee Decision,Grand Slam RJ,120KG,4F,2019
23011,8532,Gerard Labinski,8762,Rodrigo Ribeiro,L,0,Pts: 3x1,Grand Slam AD,120KG,SF,2020
23144,8532,Gerard Labinski,8514,Fellipe Andrew,L,0,Pts: 13x0,European Open,100KG,SF,2020
29296,8532,Gerard Labinski,5655,Lucas Barbosa,L,0,Armbar,Raw GC,ABS,SPF,2021
29388,8532,Gerard Labinski,11499,Roosevelt Sousa,L,0,Botinha,King Of Mats,120KG,RR,2021
14388,8532,Gerard Labinski,,Diego Braz,W,1,Pts: 4x0,Grand Slam RJ,110KG,4F,2017
14390,8532,Gerard Labinski,,A. Netto,W,1,Pts: 12x0,Grand Slam RJ,110KG,SF,2017
14391,8532,Gerard Labinski,680,Igor Silva,W,1,"Pts: 0x0, Adv",Grand Slam RJ,110KG,F,2017
15336,8532,Gerard Labinski,,S. Varshavskiy,W,1,Kneebar,London WO,100KG,F,2018
15536,8532,Gerard Labinski,8729,Matt Leighton,W,1,Referee Decision,Grand Slam LDN,110KG,SF,2018
17641,8532,Gerard Labinski,474,Alexandre Ceconi,W,1,Pts: 2x0,King of Mats,110KG,RR,2018
18370,8532,Gerard Labinski,,Pedro Peres,W,1,Adv,South American,94KG,4F,2018
18372,8532,Gerard Labinski,,Filipe Pinheiro,W,1,Pts: 7x2,South American,94KG,SF,2018
18435,8532,Gerard Labinski,,Wilker Costa,W,1,Pts: 5x0,Salvador SPO.,94KG,SF,2018
18436,8532,Gerard Labinski,,Julio Viotti,W,1,RNC,Salvador SPO.,94KG,F,2018
18549,8532,Gerard Labinski,,Luis Quinteiro,W,1,N/A,BH Sp Open,94KG,SF,2018
18990,8532,Gerard Labinski,,Gesuel Aguiar,W,1,Submission,Guarapari Pro,94KG,SF,2019
18991,8532,Gerard Labinski,,Elkjaer Lourenco,W,1,Submission,Guarapari Pro,94KG,F,2019
19060,8532,Gerard Labinski,,Luis Felipe,W,1,N/A,South Brazilian,94KG,4F,2019
19063,8532,Gerard Labinski,,Richard Goncalves,W,1,N/A,South Brazilian,94KG,SF,2019
19245,8532,Gerard Labinski,,Hugo Silva,W,1,Pts: 5x0,Brazil Nat. Pro,94KG,4F,2019
19246,8532,Gerard Labinski,,Lucas Campelo,W,1,Pts: 6x0,Brazil Nat. Pro,94KG,SF,2019
19248,8532,Gerard Labinski,,Henrique Lima,W,1,Submission,Brazil Nat. Pro,94KG,F,2019
19305,8532,Gerard Labinski,,Christofer Biude,W,1,Pts: 5x0,Curitiba SMO,94KG,4F,2019
19306,8532,Gerard Labinski,,Henrique Lima,W,1,Pts: 3x0,Curitiba SMO,94KG,SF,2019
19307,8532,Gerard Labinski,1986,Vitor Toledo,W,1,Pts: 4x2,Curitiba SMO,94KG,F,2019
19725,8532,Gerard Labinski,,Lawrence Lagos,W,1,Pts: 6x0,Floripa Fall Open,94KG,4F,2019
19726,8532,Gerard Labinski,,Henrique Lima,W,1,Kneebar,Floripa Fall Open,94KG,F,2019
20324,8532,Gerard Labinski,,Felipe Pinheiro,W,1,RNC,Brasileiro,94KG,R1,2019
20328,8532,Gerard Labinski,,Daniel Alves,W,1,Toe hold,Brasileiro,94KG,4F,2019
20754,8532,Gerard Labinski,680,Igor Silva,W,1,Pts: 2x0,King of Mats,110KG,RR,2019
21250,8532,Gerard Labinski,,Daewong Lee,W,1,RNC,Grand Slam TYO,120KG,SF,2019
21251,8532,Gerard Labinski,10159,Victor Hugo,W,1,Pts: 2x0,Grand Slam TYO,120KG,F,2019
21704,8532,Gerard Labinski,4177,Gustavo Dias,W,1,Toe hold,Grand Slam LA,120KG,SF,2019
22597,8532,Gerard Labinski,,Paulo Dantas,W,1,Kneebar,South American,100KG,4F,2019
22599,8532,Gerard Labinski,11215,Harryson Pereira,W,1,Points,South American,100KG,SF,2019
