match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
12124,8536,Yuta Shimada,2997,Joao Miyao,L,0,Pts: 6x0,Pan American,64KG,4F,2017
13066,8536,Yuta Shimada,2997,Joao Miyao,L,0,Pts: 4x0,World Champ.,64KG,8F,2017
13912,8536,Yuta Shimada,188,Augusto Mendes,L,0,Pts: 4x0,ADCC,66KG,E1,2017
15371,8536,Yuta Shimada,2997,Joao Miyao,L,0,"Pts: 4x4, Adv",Pan American,64KG,SF,2018
16456,8536,Yuta Shimada,2997,Joao Miyao,L,0,"Pts: 4x4, Adv",World Champ.,64KG,4F,2018
18873,8536,Yuta Shimada,8305,Pedro Dias,L,0,"Pts: 0x0, Pen",European Open,64KG,R1,2019
20232,8536,Yuta Shimada,8884,Alex Sodre,L,0,Points,Brasileiro,64KG,4F,2019
20577,8536,Yuta Shimada,8884,Alex Sodre,L,0,Pts: 8x2,World Champ.,64KG,R2,2019
22560,8536,Yuta Shimada,9094,Richar Nogueira,L,0,Pts: 4x0,South American,70KG,SF,2019
22741,8536,Yuta Shimada,9486,Murilo Amaral,L,0,Choke from back,Porto Alegre Open,70KG,F,2019
29009,8536,Yuta Shimada,,Bebeto Oliveira,L,0,"Pts: 0x0, Adv",JJ CON,64KG,SF,2021
29463,8536,Yuta Shimada,10840,Diego Oliveira,L,0,Pts: 4x2,World Champ.,64KG,4F,2021
30464,8536,Yuta Shimada,9031,Kennedy Maciel,L,0,Pts: 6x0,Atlanta WO,70KG,F,2022
31236,8536,Yuta Shimada,12689,Matias Estevez,L,0,Referee Decision,Charleston Open,70KG,F,2022
31631,8536,Yuta Shimada,8884,Alex Sodre,L,0,"Pts: 2x2, Adv",Pan American,70KG,R2,2022
32870,8536,Yuta Shimada,6151,Hiago George,L,0,Choke from back,World Champ.,64KG,8F,2022
36224,8536,Yuta Shimada,,Christian Banghart,L,0,"Pts: 2x2, Adv",C. Virginia NG,ABS,F,2022
37165,8536,Yuta Shimada,6060,Tomoyuki Hashimoto,L,0,"Pts: 4x4, Adv",European Open,64KG,4F,2023
38360,8536,Yuta Shimada,10840,Diego Oliveira,L,0,Pts: 4x2,Pan American,64KG,SF,2023
40216,8536,Yuta Shimada,10840,Diego Oliveira,L,0,Pts: 10x0,World Champ.,64KG,4F,2023
41681,8536,Yuta Shimada,,Jamil Hill,L,0,Choke from back,PO Peace,70KG,SPF,2023
41726,8536,Yuta Shimada,,Luan Gomes,L,0,Pts: 4x2,NYC Open,70KG,F,2023
10516,8536,Yuta Shimada,,Kouhei Ebashi,W,1,Points,Asian Open,64KG,R1,2016
10517,8536,Yuta Shimada,,Takuto Kako,W,1,Points,Asian Open,64KG,4F,2016
