match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
5077,8560,Gabriel Lucas,4328,AJ Agazarm,L,0,Pts: 9x0,Brasileiro NoGi,ABS,SF,2013
5420,8560,Gabriel Lucas,144,Andre Galvao,L,0,Inverted armbar,Pan American,O100KG,4F,2014
6069,8560,Gabriel Lucas,1740,Yuri Simoes,L,0,Pts: 2x0,NoGi Worlds,O100KG,F,2014
6233,8560,Gabriel Lucas,4460,Jaime Canuto,L,0,Adv,Copa Cachoeira,ABS,NA,2014
6624,8560,Gabriel Lucas,680,Igor Silva,L,0,Pts: 11x2,European,O100KG,SF,2015
6721,8560,Gabriel Lucas,,Alexandre Sousa,L,0,"Pts: 2x2, Adv",Gramado Trials,O95KG,SF,2015
6767,8560,Gabriel Lucas,1740,Yuri Simoes,L,0,Pts: 10x2,Pan American,ABS,R3,2015
6885,8560,Gabriel Lucas,6324,Evandro Nunes,L,0,Triangle,Pan American,O100KG,R1,2015
7253,8560,Gabriel Lucas,,Kaue Damasceno,L,0,Points,Brasileiro,O100KG,R1,2015
7897,8560,Gabriel Lucas,5861,Jared Dopp,L,0,Pts: 2x0,ADCC,O99KG,R1,2015
7987,8560,Gabriel Lucas,410,Claudio Calasans,L,0,Referee Decision,ADCC,ABS,R1,2015
8681,8560,Gabriel Lucas,1534,R. Evangelista,L,0,Referee Decision,Grand Slam RJ,O94KG,SF,2015
8683,8560,Gabriel Lucas,,Andre Campos,L,0,Pts: 2x0,Grand Slam RJ,O94KG,3RD,2015
8712,8560,Gabriel Lucas,,Andre Campos,L,0,Submission,Grand Slam RJ,ABS,8F,2015
9656,8560,Gabriel Lucas,6592,Dany Gerard,L,0,Referee Decision,World Pro,O94KG,R1,2016
10077,8560,Gabriel Lucas,7079,Carlos Farias,L,0,Referee Decision,World Champ.,ABS,R1,2016
10157,8560,Gabriel Lucas,,Otavio Serafim,L,0,"Pts: 0x0, Adv",SP BJJ Pro,O94KG,R1,2016
10765,8560,Gabriel Lucas,7543,Nelton Pontes,L,0,Pts: 2x0,Copa Podio,105KG,RR,2016
10768,8560,Gabriel Lucas,6253,Diego Borges,L,0,Pts: 4x0,Copa Podio,105KG,RR,2016
10777,8560,Gabriel Lucas,1757,Alexander Trans,L,0,Pts: 9x0,Copa Podio,105KG,RR,2016
10999,8560,Gabriel Lucas,5509,Victor Honorio,L,0,Pts: 3x0,BJJ Rio Pro,O94KG,F,2016
11770,8560,Gabriel Lucas,5509,Victor Honorio,L,0,Points,ADCC RJ,O99KG,SF,2017
12079,8560,Gabriel Lucas,6071,Gabriel Arges,L,0,Pts: 2x0,Grand Slam LDN,110KG,SF,2017
12367,8560,Gabriel Lucas,,Otavio Serafim,L,0,Adv,European NoGi,O100KG,F,2017
12936,8560,Gabriel Lucas,224,Roberto Abreu,L,0,Choke from mount,Miami SPO,O100KG,F,2017
13215,8560,Gabriel Lucas,4177,Gustavo Dias,L,0,Pts: 3x0,World Champ.,O100KG,4F,2017
13781,8560,Gabriel Lucas,4177,Gustavo Dias,L,0,Pts: 5x2,San Diego Pro,O94KG,SF,2017
14072,8560,Gabriel Lucas,5655,Lucas Barbosa,L,0,"Pts: 0x0, Adv",Dallas FO,ABS,F,2017
14247,8560,Gabriel Lucas,4430,Patrick Gaudio,L,0,Outside heel hook,ACBJJ 8,O95KG,SF,2017
14419,8560,Gabriel Lucas,,Otavio Nalati,L,0,"Pts: 0x0, Adv",BJJ NY Pro,94KG,SF,2017
14556,8560,Gabriel Lucas,,Shane Shapiro,L,0,"Pts: 0x0, Adv",BJJ Tour NV,ABS,SF,2017
14624,8560,Gabriel Lucas,6805,Max Gimenis,L,0,Referee Decision,ACB JJ Worlds,O95KG,F,2017
15928,8560,Gabriel Lucas,,Fernando Pena,L,0,N/A,ACB Asian Open,ABS,4F,2018
16291,8560,Gabriel Lucas,,Otavio Serafim,L,0,Points,Brasileiro,O100KG,SF,2018
16838,8560,Gabriel Lucas,6631,Igor Schneider,L,0,Pts: 5x0,ACBJJ World,O95KG,4F,2018
19770,8560,Gabriel Lucas,387,Braga Neto,L,0,Referee Decision,ADCC SP Trials,O99KG,F,2019
19830,8560,Gabriel Lucas,9483,Eduardo Lopes,L,0,Points,Rio FO,O100KG,SF,2019
20349,8560,Gabriel Lucas,,Felipe Sanchez,L,0,Referee Decision,Brasileiro,O100KG,R1,2019
23149,8560,Gabriel Lucas,9515,Seif Houmine,L,0,Cachecol choke,European Open,O100KG,4F,2020
23465,8560,Gabriel Lucas,9515,Seif Houmine,L,0,Pts: 5x0,Munich Open,O100KG,SF,2020
5073,8560,Gabriel Lucas,,Otavio Serafim,W,1,Points,Brasileiro NoGi,O100KG,F,2013
5417,8560,Gabriel Lucas,,Alessandro Silva,W,1,Points,Pan American,O100KG,R1,2014
5886,8560,Gabriel Lucas,,Unknown,W,1,Kimura,Rio Open,O100KG,SF,2014
5887,8560,Gabriel Lucas,,Kitner Moura,W,1,Pts: 5x2,Rio Open,O100KG,F,2014
5900,8560,Gabriel Lucas,,Kitner Moura,W,1,Adv,SP Open NoGi,O100KG,F,2014
5930,8560,Gabriel Lucas,,Leonardo Moura,W,1,Kimura,Mundial CBJJE,O100KG,F,2014
5985,8560,Gabriel Lucas,3083,Abraham Marte,W,1,Pts: 3x0,No Gi Pan Am.,O100KG,F,2014
6066,8560,Gabriel Lucas,,Paulo Vitor,W,1,Points,NoGi Worlds,O100KG,4F,2014
6067,8560,Gabriel Lucas,559,Rodrigo Comprido,W,1,Referee Decision,NoGi Worlds,O100KG,SF,2014
6140,8560,Gabriel Lucas,6792,Cassio Francis,W,1,Pts: 3x0,Rio BJJ Pro,O94KG,SF,2014
6141,8560,Gabriel Lucas,,Felipe Bueno,W,1,Adv,Rio BJJ Pro,O94KG,F,2014
6262,8560,Gabriel Lucas,,Andre Campos,W,1,Pts: 2x0,South American,O100KG,F,2014
6621,8560,Gabriel Lucas,,Takashi Haguihara,W,1,Armbar,European,O100KG,4F,2015
6720,8560,Gabriel Lucas,,Unknown,W,1,Armbar,Gramado Trials,O95KG,4F,2015
6724,8560,Gabriel Lucas,,Eduardo Inojosa,W,1,Pts: 2x0,Gramado Trials,ABS,SF,2015
6725,8560,Gabriel Lucas,,Igor Ribeiro,W,1,Adv,Gramado Trials,ABS,F,2015
6759,8560,Gabriel Lucas,1617,Victor Estima,W,1,Adv,Pan American,ABS,R2,2015
7079,8560,Gabriel Lucas,,Alexandro Ferreira,W,1,Points,ADCC SP,O99KG,SF,2015
7081,8560,Gabriel Lucas,,Gilmar Oliveira,W,1,Points,ADCC SP,O99KG,F,2015
7511,8560,Gabriel Lucas,,Leo Davila,W,1,Choke from back,World Champ.,O100KG,8F,2015
7518,8560,Gabriel Lucas,1534,R. Evangelista,W,1,"Pts: 0x0, Adv",World Champ.,O100KG,F,2015
8080,8560,Gabriel Lucas,,Pedro Moura,W,1,Adv,Brazil Nat. Pro,O77KG,SF,2015
8081,8560,Gabriel Lucas,6631,Igor Schneider,W,1,Pts: 6x0,Brazil Nat. Pro,O77KG,F,2015
8472,8560,Gabriel Lucas,,John Fain,W,1,Pts: 4x0,NoGi Worlds,O100KG,4F,2015
8474,8560,Gabriel Lucas,4177,Gustavo Dias,W,1,"Pts: 2x2, Adv",NoGi Worlds,O100KG,SF,2015
8475,8560,Gabriel Lucas,5842,Mahamed Aly,W,1,"Pts: 2x2, Adv",NoGi Worlds,O100KG,F,2015
