match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
15091,8647,Igor Verissimo,,Pedro Henrique,L,0,Pts: 2x0,ACB S. American,85KG,R1,2018
15642,8647,Igor Verissimo,,Andre Baccarin,L,0,Points,Floripa Fall Open,82KG,4F,2018
16234,8647,Igor Verissimo,6596,Jhonny Loureiro,L,0,Choke from back,Brasileiro,76KG,SF,2018
18275,8647,Igor Verissimo,,Anselmo Gomes,L,0,Toe hold,Grand Slam RJ,77KG,R1,2018
18484,8647,Igor Verissimo,9465,Endres Barbosa,L,0,Kneebar,Brasilia Open,76KG,SF,2018
19716,8647,Igor Verissimo,,Rafael Sousa,L,0,DQ,Floripa Fall Open,82KG,SF,2019
19929,8647,Igor Verissimo,9793,Alexandre Jesus,L,0,Choke from back,Curitiba Pro,82KG,F,2019
20301,8647,Igor Verissimo,2107,Otavio Sousa,L,0,Points,Brasileiro,82KG,4F,2019
22578,8647,Igor Verissimo,5756,Wellington Luis,L,0,Referee Decision,South American,82KG,4F,2019
23114,8647,Igor Verissimo,8448,Pedro Ramalho,L,0,Choke from back,European Open,82KG,4F,2020
23632,8647,Igor Verissimo,10216,Natan Chueng,L,0,Pts: 3x0,Grand Slam LDN,77KG,SF,2020
23638,8647,Igor Verissimo,7831,Diego Ramalho,L,0,Pts: 4x2,Grand Slam LDN,77KG,RPC,2020
15825,8647,Igor Verissimo,,Unknown,W,1,Armbar,Severos JJ,ABS,SF,2018
15826,8647,Igor Verissimo,,Unknown,W,1,Pts: 12x0,Severos JJ,95KG,F,2018
16227,8647,Igor Verissimo,5930,Rodrigo Freitas,W,1,"Pts: 2x2, Adv",Brasileiro,76KG,8F,2018
16232,8647,Igor Verissimo,,Francisco Simoes,W,1,Kimura,Brasileiro,76KG,4F,2018
18479,8647,Igor Verissimo,,Chairo Olimpio,W,1,Points,Brasilia Open,76KG,4F,2018
18538,8647,Igor Verissimo,,Thales Oliveira,W,1,Adv,BH Sp Open,76KG,4F,2018
18543,8647,Igor Verissimo,,Matheus Linhares,W,1,Choke from back,BH Sp Open,76KG,SF,2018
18544,8647,Igor Verissimo,,Vitor Matos,W,1,Choke from back,BH Sp Open,76KG,F,2018
19297,8647,Igor Verissimo,,Celso Ricardo,W,1,Pen,Curitiba SMO,82KG,4F,2019
19298,8647,Igor Verissimo,9312,Alexandre Cavaliere,W,1,Triangle,Curitiba SMO,82KG,SF,2019
19300,8647,Igor Verissimo,,Ygor Dantas,W,1,"Pts: 2x2, Adv",Curitiba SMO,82KG,F,2019
19731,8647,Igor Verissimo,,Raul Almeida,W,1,Referee Decision,Floripa Fall Open,ABS,4F,2019
19924,8647,Igor Verissimo,,Manoel Miguel,W,1,Points,Curitiba Pro,82KG,4F,2019
19928,8647,Igor Verissimo,9573,Marcos Martins,W,1,Kneebar,Curitiba Pro,82KG,SF,2019
20295,8647,Igor Verissimo,,Marco Aurellio,W,1,Points,Brasileiro,82KG,R2,2019
20297,8647,Igor Verissimo,9793,Alexandre Jesus,W,1,Bow and arrow,Brasileiro,82KG,R3,2019
21010,8647,Igor Verissimo,,Lucas Barros,W,1,Points,SP BJJ Pro,82KG,4F,2019
22575,8647,Igor Verissimo,,Pedro Bianco,W,1,Pts: 14x2,South American,82KG,R1,2019
23105,8647,Igor Verissimo,,Ayub Mogamadov,W,1,Pts: 6x2,European Open,82KG,R1,2020
23623,8647,Igor Verissimo,,Marcos Almeida,W,1,Pts: 4x3,Grand Slam LDN,77KG,R1,2020
23630,8647,Igor Verissimo,,Robert Henek,W,1,Pts: 3x1,Grand Slam LDN,77KG,4F,2020
