match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
15113,8686,Fellipe Trovo,6631,Igor Schneider,L,0,Pts: 7x0,ACB S. American,O95KG,4F,2018
15262,8686,Fellipe Trovo,9637,Sergio Rios,L,0,Points,Mexico Winter Open,ABS,SF,2018
15342,8686,Fellipe Trovo,8514,Fellipe Andrew,L,0,Botinha,Pan American,ABS,R1,2018
16024,8686,Fellipe Trovo,3200,Jackson Sousa,L,0,Pts: 2x0,Marianas Open,100KG,SF,2018
16027,8686,Fellipe Trovo,6156,Tanner Rice,L,0,Pts: 14x2,Marianas Open,100KG,3RD,2018
16363,8686,Fellipe Trovo,8357,Gustavo Batista,L,0,Pts: 11x0,ACB North America,95KG,SF,2018
16384,8686,Fellipe Trovo,8357,Gustavo Batista,L,0,Pts: 4x0,ACB North America,ABS,SF,2018
16613,8686,Fellipe Trovo,3122,Luiz Panza,L,0,Katagatame,World Champ.,ABS,RD,2018
17180,8686,Fellipe Trovo,,Adson Sales,L,0,Points,Floripa W. Open,100KG,SF,2018
17186,8686,Fellipe Trovo,,Otavio Nalati,L,0,Shoulder pressure,Floripa W. Open,ABS,F,2018
18068,8686,Fellipe Trovo,8974,Kaynan Duarte,L,0,Guillotine,SJJIF Worlds,100KG,SF,2018
18079,8686,Fellipe Trovo,8974,Kaynan Duarte,L,0,Submission,SJJIF NG World,100KG,SF,2018
18671,8686,Fellipe Trovo,4145,Thiago Sa,L,0,Pts: 6x0,NoGi Worlds,91KG,4F,2018
19168,8686,Fellipe Trovo,9637,Sergio Rios,L,0,Points,OC Open,ABS,F,2019
19388,8686,Fellipe Trovo,8357,Gustavo Batista,L,0,Pts: 24x0,LA BJJ Pro,94KG,F,2019
19649,8686,Fellipe Trovo,7478,Adam Wardzinski,L,0,Choke from back,Pan American,94KG,4F,2019
20680,8686,Fellipe Trovo,6825,Fernando Reis,L,0,"Pts: 0x0, Adv",World Champ.,94KG,R1,2019
20721,8686,Fellipe Trovo,6156,Tanner Rice,L,0,Points,World Champ.,ABS,R1,2019
21445,8686,Fellipe Trovo,9321,Dominique Bell,L,0,Pts: 4x2,Las Vegas Open,94KG,F,2019
21458,8686,Fellipe Trovo,6592,Dany Gerard,L,0,Pts: 2x0,Las Vegas Open,ABS,SF,2019
21470,8686,Fellipe Trovo,11027,Pedro Rocha,L,0,Pts: 2x0,Las Vegas NGO,ABS,F,2019
21698,8686,Fellipe Trovo,6825,Fernando Reis,L,0,"Pts: 4x4, Adv",Grand Slam LA,94KG,F,2019
22342,8686,Fellipe Trovo,10741,Luan Azevedo,L,0,"Pts: 0x0, Adv",Grand Slam RJ,94KG,SF,2019
22824,8686,Fellipe Trovo,9157,Devhonte Johnson,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,4F,2019
22896,8686,Fellipe Trovo,7478,Adam Wardzinski,L,0,"Pts: 0x0, Adv",NoGi Worlds,91KG,SF,2019
23055,8686,Fellipe Trovo,8514,Fellipe Andrew,L,0,Botinha,European Open,ABS,SF,2020
23143,8686,Fellipe Trovo,4430,Patrick Gaudio,L,0,Points,European Open,100KG,4F,2020
23904,8686,Fellipe Trovo,9250,Gabriel Almeida,L,0,Referee Decision,SUBVERSIV 3,ABS,SF,2020
23938,8686,Fellipe Trovo,9250,Gabriel Almeida,L,0,Points,Kumite 6,ABS,4F,2020
24050,8686,Fellipe Trovo,8634,Rafael Vasconcelos,L,0,Pts: 2x1,Grand Slam MIA,94KG,4F,2020
24305,8686,Fellipe Trovo,9246,Tex Johnson,L,0,Referee Decision,Subversiv 4,ABS,R1,2020
26328,8686,Fellipe Trovo,6337,Arnaldo Maidana,L,0,Referee Decision,F2W 172,94KG,SPF,2021
26742,8686,Fellipe Trovo,12069,Bruno Matias,L,0,Pts: 15x0,American NGN,91KG,SF,2021
26986,8686,Fellipe Trovo,84,Alexandre Ribeiro,L,0,Referee Decision,F2W 178,92KG,SPF,2021
27691,8686,Fellipe Trovo,8514,Fellipe Andrew,L,0,Katagatame,F2W 183,ABS,SPF,2021
29582,8686,Fellipe Trovo,9157,Devhonte Johnson,L,0,Pts: 3x0,World Champ.,100KG,4F,2021
31593,8686,Fellipe Trovo,11709,Wallace Costa,L,0,Pts: 5x2,Pan American,ABS,4F,2022
31699,8686,Fellipe Trovo,12537,Pedro Machado,L,0,Armbar,Pan American,94KG,R2,2022
32065,8686,Fellipe Trovo,12203,Austin Baker,L,0,Pts: 5x0,Warrior Challenger,ABS,4F,2022
32452,8686,Fellipe Trovo,7478,Adam Wardzinski,L,0,Katagatame,SD Open,94KG,F,2022
32989,8686,Fellipe Trovo,8974,Kaynan Duarte,L,0,Choke from back,World Champ.,94KG,4F,2022
36894,8686,Fellipe Trovo,9554,Henrique Cardoso,L,0,Pts: 2x0,NoGi Worlds,97KG,F,2022
40359,8686,Fellipe Trovo,13379,Felipe Costa,L,0,Mounted X choke,World Champ.,100KG,4F,2023
41964,8686,Fellipe Trovo,,Daishi Goto,L,0,Pts: 3x0,ADCC Arizona,100KG,F,2023
43287,8686,Fellipe Trovo,13432,Luccas Lira,L,0,Pts: 28x2,NoGi Pan,97KG,4F,2023
15111,8686,Fellipe Trovo,,N/A,W,1,Armbar,ACB S. American,O95KG,R1,2018
15257,8686,Fellipe Trovo,,Rodrigo Kim,W,1,Pts: 9x0,Mexico Winter Open,100KG,F,2018
15260,8686,Fellipe Trovo,,Eduardo Botega,W,1,Choke,Mexico Winter Open,ABS,4F,2018
15751,8686,Fellipe Trovo,,Robert Wolfe,W,1,Choke from back,San Jose Open,ABS,R1,2018
15755,8686,Fellipe Trovo,9064,Silvio Duran,W,1,Kimura,San Jose Open,ABS,4F,2018
16020,8686,Fellipe Trovo,,Eric Sian,W,1,Pts: 4x0,Marianas Open,100KG,4F,2018
16362,8686,Fellipe Trovo,9246,Tex Johnson,W,1,Pts: 4x2,ACB North America,95KG,4F,2018
16365,8686,Fellipe Trovo,,Gianni Crivello,W,1,Pts: 2x0,ACB North America,95KG,3RD,2018
16368,8686,Fellipe Trovo,,Thiago Marques,W,1,Referee Decision,ACB North America,ABS,R1,2018
16378,8686,Fellipe Trovo,,Wellington Peroto,W,1,Pts: 3x2,ACB North America,ABS,8F,2018
