match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
13629,8729,Matthew Leighton,5655,Lucas Barbosa,L,0,Points,Chicago SMO,88KG,F,2017
13636,8729,Matthew Leighton,3009,Keenan Cornelius,L,0,Points,Chicago SMO,ABS,4F,2017
13976,8729,Matthew Leighton,7143,Breno Bittencourt,L,0,Pts: 5x0,Atlanta SM Open,ABS,4F,2017
14027,8729,Matthew Leighton,9246,Tex Johnson,L,0,Referee Decision,No Gi Pan Am.,O97KG,F,2017
14416,8729,Matthew Leighton,3009,Keenan Cornelius,L,0,Triangle kimura,BJJ NY Pro,94KG,SF,2017
14635,8729,Matthew Leighton,2035,Vitor Oliveira,L,0,Points,Cincinnati Open,88KG,F,2017
14639,8729,Matthew Leighton,9064,Silvio Duran,L,0,Referee Decision,Cincinnati Open,ABS,SF,2017
15536,8729,Matthew Leighton,8532,Gerard Labinski,L,0,Referee Decision,Grand Slam LDN,110KG,SF,2018
15600,8729,Matthew Leighton,7399,Horlando Monteiro,L,0,Triangle,Chicago Sp. Open,94KG,F,2018
15608,8729,Matthew Leighton,8195,Gutemberg Pereira,L,0,Choke from back,Chicago Sp. Open,ABS,SF,2018
16179,8729,Matthew Leighton,7478,Adam Wardzinski,L,0,Pts: 7x0,World Pro,94KG,SF,2018
16184,8729,Matthew Leighton,,Basel Fanous,L,0,Referee Decision,World Pro,94KG,RPC,2018
16871,8729,Matthew Leighton,5842,Mahamed Aly,L,0,Points,NY BJJ Pro,O94KG,SF,2018
17064,8729,Matthew Leighton,4310,Tim Spriggs,L,0,Referee Decision,F2W 82,94KG,SPF,2018
17534,8729,Matthew Leighton,1272,Leo Nogueira,L,0,Points,Atlanta SMO,ABS,SF,2018
19399,8729,Matthew Leighton,9246,Tex Johnson,L,0,Straight ankle lock,SubSpectrum,ABS,SPF,2019
19635,8729,Matthew Leighton,7047,Matheus Spirandeli,L,0,Pts: 6x2,Pan American,88KG,8F,2019
20432,8729,Matthew Leighton,9157,Devhonte Johnson,L,0,Referee Decision,F2W 111,85KG,SPF,2019
20522,8729,Matthew Leighton,9325,Dan Borovic,L,0,Pts: 4x2,Chicago SPO,94KG,F,2019
22219,8729,Matthew Leighton,8996,Mauricio Oliveira,L,0,Referee Decision,F2W 129,88KG,SPF,2019
23563,8729,Matthew Leighton,10880,Roberto Jimenez,L,0,Choke from back,Kansas Open,94KG,F,2020
26171,8729,Matthew Leighton,6337,Arnaldo Maidana,L,0,Points,NoGi Pan Am.,97KG,4F,2021
26590,8729,Matthew Leighton,,Antonio Zuazo,L,0,N/A,Boise NGO,97KG,F,2021
26683,8729,Matthew Leighton,,Nathan Mendelshon,L,0,"Pts: 0x0, Adv",American Nats,94KG,4F,2021
