match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
18114,8767,Jonathan Calestine,,Sal Guerrero,L,0,Referee Decision,ADCC EC Trials,66KG,4F,2018
19081,8767,Jonathan Calestine,,R. Alarcon,L,0,Pts: 4x0,ADCC WC Trials,66KG,R2,2019
21382,8767,Jonathan Calestine,10380,Junny Ocasio,L,0,Pts: 3x2,Kasai Pro 6,61KG,RR,2019
21383,8767,Jonathan Calestine,4996,Geo Martinez,D,0.5,---,Kasai Pro 6,61KG,RR,2019
21385,8767,Jonathan Calestine,10357,Richard Alarcon,L,0,Pts: 4x0,Kasai Pro 6,61KG,3RD,2019
28800,8767,Jonathan Calestine,12950,Cole Abate,L,0,Pts: 3x0,ADCC EC Trials,66KG,R4,2021
30893,8767,Jonathan Calestine,8814,Adam Benayoun,L,0,EBI/OT,Emerald City,70KG,SF,2022
15176,8767,Jonathan Calestine,,Edwin Acasio,W,1,Inside heel hook,EBI 15,65KG,R1,2018
15184,8767,Jonathan Calestine,,Jason Hayden,W,1,Inside heel hook,EBI 15,65KG,4F,2018
15189,8767,Jonathan Calestine,,Mike Davilla,W,1,Inside heel hook,EBI 15,65KG,SF,2018
15190,8767,Jonathan Calestine,4996,Geo Martinez,W,1,EBI/OT,EBI 15,65KG,F,2018
17233,8767,Jonathan Calestine,4248,Gianni Grippo,W,1,Referee Decision,Kasai Pro 3,68KG,SPF,2018
18103,8767,Jonathan Calestine,,J. Rodriguez,W,1,Inside heel hook,ADCC EC Trials,66KG,R1,2018
18110,8767,Jonathan Calestine,,Brandon Gambucci,W,1,Inside heel hook,ADCC EC Trials,66KG,8F,2018
19079,8767,Jonathan Calestine,,M. Ocapan,W,1,Outside heel hook,ADCC WC Trials,66KG,R1,2019
21379,8767,Jonathan Calestine,,M. Imanari,W,1,Inside heel hook,Kasai Pro 6,61KG,RR,2019
28766,8767,Jonathan Calestine,,Joseph Lugo,W,1,Guillotine,ADCC EC Trials,66KG,R1,2021
28778,8767,Jonathan Calestine,,Scott Dance,W,1,Inside heel hook,ADCC EC Trials,66KG,R2,2021
28792,8767,Jonathan Calestine,,Michael Sainz,W,1,Inside heel hook,ADCC EC Trials,66KG,R3,2021
30889,8767,Jonathan Calestine,10928,Pedro Serrano,W,1,EBI/OT,Emerald City,70KG,4F,2022
