match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
15042,8814,Adam Benayoun,,Chris Kriebel,L,0,Referee Decision,Atlanta W. Open,70KG,4F,2018
15585,8814,Adam Benayoun,8632,Thiago Macedo,L,0,Points,Chicago Sp. Open,70KG,SF,2018
15768,8814,Adam Benayoun,,Frederico Alves,L,0,"Pts: 2x2, Adv",Washington SPO,70KG,4F,2018
15885,8814,Adam Benayoun,9064,Silvio Duran,L,0,Pts: 8x6,Atlanta Sp. Open,70KG,F,2018
15891,8814,Adam Benayoun,,Thomas Keenan,L,0,Arm in Ezekiel,Atlanta Sp. Open,ABS,SF,2018
17053,8814,Adam Benayoun,8800,Matheus Gonzaga,L,0,Points,Boston SMO,70KG,F,2018
17412,8814,Adam Benayoun,8069,Pablo Mantovani,L,0,Kneebar,No Gi Pan Am.,67KG,SF,2018
17852,8814,Adam Benayoun,2999,Paulo Miyao,L,0,Pts: 9x4,Miami FO,70KG,F,2018
18085,8814,Adam Benayoun,9309,Felipe Linhares,L,0,Choke from back,Charlotte Open,70KG,F,2018
18117,8814,Adam Benayoun,,T. Ruotolo,L,0,Referee Decision,ADCC EC Trials,66KG,4F,2018
18590,8814,Adam Benayoun,8632,Thiago Macedo,L,0,Referee Decision,NoGi Worlds,67KG,R2,2018
19177,8814,Adam Benayoun,8800,Matheus Gonzaga,L,0,Adv,Atlanta WO,70KG,SF,2019
19254,8814,Adam Benayoun,9051,Gabriel Sousa,L,0,Points,US Continental,69KG,F,2019
19354,8814,Adam Benayoun,,Igor Mocaiber,L,0,Referee Decision,Canada Pro,ABS,SF,2019
23230,8814,Adam Benayoun,8536,Yuta Shimada,L,0,Referee Decision,Atlanta WO,70KG,F,2020
23545,8814,Adam Benayoun,9064,Silvio Duran,L,0,N/A,Kansas Open,70KG,SF,2020
24140,8814,Adam Benayoun,8632,Thiago Macedo,L,0,50/50 armbar,Pan American,70KG,8F,2020
24463,8814,Adam Benayoun,12372,Francisco Cuneo,L,0,Referee Decision,No Gi Pan Am.,73KG,4F,2020
28230,8814,Adam Benayoun,10840,Diego Oliveira,L,0,"Pts: 0x0, Adv",NoGi Worlds,67KG,4F,2021
28803,8814,Adam Benayoun,10380,Junny Ocasio,L,0,Referee Decision,ADCC EC Trials,66KG,R4,2021
30895,8814,Adam Benayoun,12115,Kieran Kichuk,L,0,EBI/OT,Emerald City,70KG,F,2022
31512,8814,Adam Benayoun,11568,Josh Cisneros,L,0,Referee Decision,ADCC WC Trials,66KG,8F,2022
35513,8814,Adam Benayoun,,Gavin Corbe,L,0,"Pts: 0x0, Adv",NoGi Pan,67KG,F,2022
36816,8814,Adam Benayoun,,Gavin Corbe,L,0,Referee Decision,NoGi Worlds,67KG,4F,2022
15547,8814,Adam Benayoun,,Reuben Sagman,W,1,Triangle,Canada Nat. Pro,69KG,SF,2018
15548,8814,Adam Benayoun,,Thiago Barbosa,W,1,"Pts: 0x0, Adv",Canada Nat. Pro,69KG,F,2018
15552,8814,Adam Benayoun,,Chris Bumgardner,W,1,Triangle,Copa Virginia,76KG,SF,2018
15553,8814,Adam Benayoun,,Scott Dance,W,1,Omoplata,Copa Virginia,76KG,F,2018
15884,8814,Adam Benayoun,,Fred Alves,W,1,"Pts: 2x2, Adv",Atlanta Sp. Open,70KG,SF,2018
15890,8814,Adam Benayoun,,Christopher Carmo,W,1,Pts: 12x8,Atlanta Sp. Open,ABS,4F,2018
15962,8814,Adam Benayoun,9064,Silvio Duran,W,1,Adv,NY Spring Open,70KG,4F,2018
15964,8814,Adam Benayoun,,Tiago Ribeiro,W,1,Triangle,NY Spring Open,70KG,SF,2018
