match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
7603,8842,Wanki Chae,2999,Paulo Miyao,L,0,Pts: 8x4,US No Gi Nat.,70KG,F,2015
8043,8842,Wanki Chae,5715,Isaque Paiva,L,0,Mounted triangle,Asian Open,70KG,SF,2015
9564,8842,Wanki Chae,4248,Gianni Grippo,L,0,"Pts: 4x4, Adv",World Pro,69KG,R1,2016
9941,8842,Wanki Chae,,Ed Ramos,L,0,Points,World Champ.,70KG,R1,2016
10522,8842,Wanki Chae,,Daisuke Shiraki,L,0,Adv,Asian Open,70KG,F,2016
11549,8842,Wanki Chae,4248,Gianni Grippo,L,0,Pts: 5x2,European Open,70KG,8F,2017
13089,8842,Wanki Chae,147,Rubens Charles,L,0,Adv,World Champ.,70KG,8F,2017
15479,8842,Wanki Chae,6151,Hiago George,L,0,Pts: 3x0,Grand Slam LDN,62KG,F,2018
16032,8842,Wanki Chae,428,Celso Vinicius,L,0,"Pts: 0x0, Adv",King of Mats,69KG,RR,2018
16044,8842,Wanki Chae,4248,Gianni Grippo,L,0,Pts: 13x2,King of Mats,69KG,RR,2018
16045,8842,Wanki Chae,8819,Thiago Barreto,L,0,Pts: 2x0,King of Mats,69KG,RR,2018
16125,8842,Wanki Chae,2997,Joao Miyao,L,0,Pts: 7x2,World Pro,62KG,F,2018
16447,8842,Wanki Chae,2997,Joao Miyao,L,0,"Pts: 0x0, Adv",World Champ.,64KG,R1,2018
21217,8842,Wanki Chae,9051,Gabriel Sousa,L,0,Points,King of Mats,69KG,RR,2019
21223,8842,Wanki Chae,7657,Cleber Sousa,L,0,Referee Decision,King of Mats,69KG,RR,2019
29180,8842,Wanki Chae,6151,Hiago George,L,0,Pts: 1x0,World Pro,62KG,4F,2021
35854,8842,Wanki Chae,10644,Marcelo Gomide,L,0,Points,Pan Pacific,ABS,4F,2022
36313,8842,Wanki Chae,,Omar Alfadhli,L,0,Pts: 9x6,World Pro,62KG,SF,2022
36319,8842,Wanki Chae,12573,Sebastian Serpa,L,0,Pts: 2x0,World Pro,62KG,RPC,2022
37592,8842,Wanki Chae,11963,Diego Sodre,L,0,Pts: 3x0,Spyder RTBB,65KG,4F,2023
7601,8842,Wanki Chae,,Arthur Molina,W,1,Pts: 4x0,US No Gi Nat.,70KG,4F,2015
7602,8842,Wanki Chae,1436,Samir Chantre,W,1,Pts: 4x0,US No Gi Nat.,70KG,SF,2015
8820,8842,Wanki Chae,,Carlos Eduardo,W,1,Choke from back,London FO,70KG,SF,2015
8821,8842,Wanki Chae,,Tsuyoshi Tamaki,W,1,Choke from back,London FO,70KG,F,2015
10520,8842,Wanki Chae,5715,Isaque Paiva,W,1,Pts: 8x2,Asian Open,70KG,4F,2016
10521,8842,Wanki Chae,,Ichitaro Tsukada,W,1,Pts: 4x2,Asian Open,70KG,SF,2016
11368,8842,Wanki Chae,,Shinkai Marcos,W,1,Choke from back,Rickson Cup,76KG,SF,2016
11369,8842,Wanki Chae,,Noue Satoshi,W,1,Choke from back,Rickson Cup,76KG,F,2016
11370,8842,Wanki Chae,,Leandro Kusano,W,1,Pts: 4x0,Japan Nat. Pro,ABS,NA,2016
11546,8842,Wanki Chae,,Luciano Araújo,W,1,Pts: 2x0,European Open,70KG,R1,2017
13081,8842,Wanki Chae,613,Wellington Dias,W,1,Bow and arrow,World Champ.,70KG,R1,2017
13381,8842,Wanki Chae,,Ricardo Yagi,W,1,Choke from back,Grand Slam TYO,69KG,4F,2017
13383,8842,Wanki Chae,,Mario Silva,W,1,Choke from back,Grand Slam TYO,69KG,SF,2017
13385,8842,Wanki Chae,,Shiraki Daisuke,W,1,Adv,Grand Slam TYO,69KG,F,2017
14773,8842,Wanki Chae,610,Jeff Glover,D,0.5,---,Battle Field,76KG,SPF,2017
15326,8842,Wanki Chae,,Adam Dashed,W,1,Choke from back,London WO,70KG,SF,2018
15327,8842,Wanki Chae,,Sparato Stephane,W,1,Choke from back,London WO,70KG,F,2018
15474,8842,Wanki Chae,,Jorge Nakamura,W,1,Pts: 4x0,Grand Slam LDN,62KG,4F,2018
15478,8842,Wanki Chae,,Wellington Lima,W,1,Choke from back,Grand Slam LDN,62KG,SF,2018
16122,8842,Wanki Chae,,Jarrah Alhazza,W,1,Choke from back,World Pro,62KG,4F,2018
16124,8842,Wanki Chae,9377,Alexis Alduncin,W,1,"Pts: 0x0, Adv",World Pro,62KG,SF,2018
16443,8842,Wanki Chae,,Kazuhiro Miyachi,W,1,Choke from back,World Champ.,64KG,R1,2018
17649,8842,Wanki Chae,,N/A,W,1,Triangle,JJIF Balkan Open,62KG,4F,2018
17650,8842,Wanki Chae,,N/A,W,1,Triangle,JJIF Balkan Open,62KG,SF,2018
17651,8842,Wanki Chae,,N/A,W,1,Triangle,JJIF Balkan Open,62KG,F,2018
21220,8842,Wanki Chae,9502,Nobuhiro Sawada,W,1,Pts: 4x2,King of Mats,69KG,RR,2019
22731,8842,Wanki Chae,7645,Masahiro Iwasaki,D,0.5,---,Quintet FN4,ABS,RR,2019
35862,8842,Wanki Chae,,Keito Oyanagi,W,1,N/A,Pan Pacific NG,67KG,SF,2022
35863,8842,Wanki Chae,,Journ Tang,W,1,N/A,Pan Pacific NG,67KG,F,2022
36307,8842,Wanki Chae,,Sultan Alowais,W,1,Pts: 6x4,World Pro,62KG,R1,2022
36312,8842,Wanki Chae,,Yu Lin,W,1,Choke from back,World Pro,62KG,4F,2022
