match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
381,886,Leonardo Leite,86,Fernando Margarida,L,0,Pts: 9x2,World Champ.,ABS,SF,2000
852,886,Leonardo Leite,573,Fabricio Werdum,L,0,Points,World Champ.,O100KG,F,2003
1462,886,Leonardo Leite,10430,Gabriel Gonzaga,L,0,Pts: 4x0,World Champ.,O100KG,F,2006
1975,886,Leonardo Leite,505,Roger Gracie,L,0,Cross choke,World Champ.,O100KG,F,2008
2049,886,Leonardo Leite,,Charles Cachoeira,L,0,Points,Capital Challenge,O99KG,SF,2008
2077,886,Leonardo Leite,422,Braulio Estima,L,0,Points,Capital Challenge,ABS,F,2008
2226,886,Leonardo Leite,,Leo Chocolate,L,0,Referee Decision,ADCC Trials,99KG,SF,2009
3857,886,Leonardo Leite,,T. Gaia,L,0,Choke,Brasileiro,O100KG,SF,2012
4147,886,Leonardo Leite,984,Marcus Almeida,L,0,Armbar,World Champ.,O100KG,F,2012
4687,886,Leonardo Leite,247,Rodolfo Vieira,L,0,Armbar,Copa Podio,94KG,SPF,2013
4761,886,Leonardo Leite,247,Rodolfo Vieira,L,0,Armbar,World Champ.,ABS,SF,2013
4818,886,Leonardo Leite,2403,Joao Rocha,L,0,Choke from back,World Champ.,100KG,4F,2013
4846,886,Leonardo Leite,247,Rodolfo Vieira,L,0,Pts: 14x2,Copa Podio,ABS,SPF,2013
296,886,Leonardo Leite,232,Mario Sperry,W,1,Pts: 4x0,World Champ.,100KG,F,1999
403,886,Leonardo Leite,,Aurelio Fernandes,W,1,Points,World Champ.,O100KG,F,2000
847,886,Leonardo Leite,,Ronald Bauer,W,1,Points,World Champ.,O100KG,R1,2003
848,886,Leonardo Leite,2582,Francisco Fernandes,W,1,N/A,World Champ.,O100KG,4F,2003
851,886,Leonardo Leite,3099,Marcio Corleta,W,1,Pts: 4x2,World Champ.,O100KG,SF,2003
943,886,Leonardo Leite,,Aurelio Fernandes,W,1,Pts: 2x0,World Cup,O100KG,SF,2003
945,886,Leonardo Leite,573,Fabricio Werdum,W,1,N/A,World Cup,O100KG,F,2003
1024,886,Leonardo Leite,,Marco Vilela,W,1,Armbar,Team Nationals,O88KG,F,2004
1243,886,Leonardo Leite,,Adriano Pires,W,1,Points,World Cup,O100KG,SF,2005
1244,886,Leonardo Leite,,Gabriel Napao,W,1,Pts: 4x0,World Cup,O100KG,F,2005
1458,886,Leonardo Leite,,Mauro Jorge,W,1,Submission,World Champ.,O100KG,4F,2006
1461,886,Leonardo Leite,1263,Lucio Rodrigues,W,1,RNC,World Champ.,O100KG,SF,2006
1971,886,Leonardo Leite,,Asa Fuller,W,1,Choke,World Champ.,O100KG,R1,2008
2051,886,Leonardo Leite,573,Fabricio Werdum,W,1,Points,Capital Challenge,O99KG,3PLC,2008
4138,886,Leonardo Leite,,Unknown,W,1,N/A,World Champ.,O100KG,R2,2012
4143,886,Leonardo Leite,1534,R. Evangelista,W,1,"Pts: 2x2, Adv",World Champ.,O100KG,4F,2012
4146,886,Leonardo Leite,1757,Alexander Trans,W,1,Pts: 2x0,World Champ.,O100KG,SF,2012
4746,886,Leonardo Leite,,Anderson Lima,W,1,N/A,World Champ.,ABS,RDS,2013
4755,886,Leonardo Leite,2226,DJ Jackson,W,1,Points,World Champ.,ABS,RDS,2013
4759,886,Leonardo Leite,144,Andre Galvao,W,1,Referee Decision,World Champ.,ABS,4F,2013
