match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
16454,8884,Alexsandro Sodre,5447,Mikey Musumeci,L,0,Arm in Ezekiel,World Champ.,64KG,4F,2018
16817,8884,Alexsandro Sodre,9031,Kennedy Maciel,L,0,Pts: 2x0,ACBJJ World,65KG,SF,2018
16819,8884,Alexsandro Sodre,2999,Paulo Miyao,L,0,Pts: 10x2,ACBJJ World,65KG,3RD,2018
18886,8884,Alexsandro Sodre,6103,Isaac Doederlein,L,0,Straight ankle lock,European Open,70KG,4F,2019
19568,8884,Alexsandro Sodre,2997,Joao Miyao,L,0,Referee Decision,Pan American,64KG,SF,2019
19918,8884,Alexsandro Sodre,,Pedro Valenca,L,0,Points,Curitiba Pro,70KG,SF,2019
20237,8884,Alexsandro Sodre,6151,Hiago George,L,0,Adv,Brasileiro,64KG,F,2019
20584,8884,Alexsandro Sodre,5789,Tiago Barros,L,0,"Pts: 4x4, Adv",World Champ.,64KG,4F,2019
23088,8884,Alexsandro Sodre,6103,Isaac Doederlein,L,0,Referee Decision,European Open,70KG,SF,2020
23921,8884,Alexsandro Sodre,10840,Diego Oliveira,L,0,Pts: 12x10,BJJ Bet,65KG,SPF,2020
24270,8884,Alexsandro Sodre,11497,Fabricio Andrey,L,0,Pts: 4x2,Brasileiro CBJJE,70KG,F,2020
24683,8884,Alexsandro Sodre,8231,Leo Saggioro,L,0,Pts: 3x2,Grand Slam RJ,69KG,8F,2020
25110,8884,Alexsandro Sodre,10408,Israel Sousa,L,0,Pts: 5x2,Brazil Nat. Pro,69KG,F,2021
25298,8884,Alexsandro Sodre,8231,Leo Saggioro,L,0,Pts: 13x4,Rio Open,70KG,F,2021
26373,8884,Alexsandro Sodre,10840,Diego Oliveira,L,0,Pts: 5x3,SA Cont. Pro,69KG,4F,2021
26382,8884,Alexsandro Sodre,10840,Diego Oliveira,L,0,Pts: 4x0,SA Cont. Pro,69KG,3RD,2021
27558,8884,Alexsandro Sodre,6103,Isaac Doederlein,L,0,Pts: 2x0,Pan American,70KG,4F,2021
29487,8884,Alexsandro Sodre,11497,Fabricio Andrey,L,0,"Pts: 0x0, Adv",World Champ.,70KG,SF,2021
32055,8884,Alexsandro Sodre,11497,Fabricio Andrey,L,0,Referee Decision,BJJ Stars,66KG,SPF,2022
32327,8884,Alexsandro Sodre,11423,Meyram Maquine,L,0,Pts: 5x2,King of Mats,69KG,RR,2022
32330,8884,Alexsandro Sodre,6103,Isaac Doederlein,L,0,Pts: 4x3,King of Mats,69KG,SF,2022
32351,8884,Alexsandro Sodre,,Marlus Salgado,L,0,Pts: 4x2,Grand Slam AD,69KG,SF,2022
32900,8884,Alexsandro Sodre,6103,Isaac Doederlein,L,0,"Pts: 2x2, Adv",World Champ.,70KG,4F,2022
34603,8884,Alexsandro Sodre,11423,Meyram Maquine,L,0,Pts: 7x0,Grand Slam MIA,69KG,SF,2022
37183,8884,Alexsandro Sodre,11497,Fabricio Andrey,L,0,Pts: 2x0,European Open,70KG,F,2023
38380,8884,Alexsandro Sodre,11497,Fabricio Andrey,L,0,Referee Decision,Pan American,70KG,SF,2023
39476,8884,Alexsandro Sodre,6103,Isaac Doederlein,L,0,"Pts: 0x0, Adv",Brasileiro,70KG,F,2023
40243,8884,Alexsandro Sodre,11510,Samuel Nagai,L,0,"Pts: 0x0, Adv",World Champ.,70KG,4F,2023
16441,8884,Alexsandro Sodre,,Joseph Sun Lee,W,1,Choke from back,World Champ.,64KG,R1,2018
16450,8884,Alexsandro Sodre,7657,Cleber Sousa,W,1,Pts: 4x0,World Champ.,64KG,R2,2018
17152,8884,Alexsandro Sodre,,Ulysses Faguntes,W,1,Armbar,Floripa W. Open,70KG,4F,2018
17155,8884,Alexsandro Sodre,,Gabriel Machado,W,1,Pts: 6x2,Floripa W. Open,70KG,SF,2018
17156,8884,Alexsandro Sodre,,Mateus Garcia,W,1,50/50 armbar,Floripa W. Open,70KG,F,2018
17466,8884,Alexsandro Sodre,8525,Alexandre Vieira,W,1,Armbar,Sao Paulo Open,70KG,4F,2018
17469,8884,Alexsandro Sodre,,Nielton Mendes,W,1,50/50 armbar,Sao Paulo Open,70KG,SF,2018
17470,8884,Alexsandro Sodre,,Mateus Garcia,W,1,50/50 armbar,Sao Paulo Open,70KG,F,2018
17983,8884,Alexsandro Sodre,,Francisco Menezes,W,1,Armbar,Manaus Open,70KG,SF,2018
18881,8884,Alexsandro Sodre,9697,Sergio Calderon,W,1,Pts: 8x2,European Open,70KG,R1,2019
19041,8884,Alexsandro Sodre,8351,Joao Neto,W,1,Pts: 2x0,South Brazilian,70KG,SF,2019
19043,8884,Alexsandro Sodre,,Leandro Lima,W,1,Pts: 4x0,South Brazilian,70KG,F,2019
19288,8884,Alexsandro Sodre,,Osmar Telles,W,1,N/A,Curitiba SMO,70KG,SF,2019
19290,8884,Alexsandro Sodre,,Leandro Lima,W,1,Pts: 2x0,Curitiba SMO,70KG,F,2019
19561,8884,Alexsandro Sodre,6043,Lucas Pinheiro,W,1,50/50 armbar,Pan American,64KG,8F,2019
19565,8884,Alexsandro Sodre,,Fernando Soares,W,1,Armbar,Pan American,64KG,4F,2019
20232,8884,Alexsandro Sodre,8536,Yuta Shimada,W,1,Points,Brasileiro,64KG,4F,2019
20236,8884,Alexsandro Sodre,2997,Joao Miyao,W,1,Pts: 10x4,Brasileiro,64KG,SF,2019
20577,8884,Alexsandro Sodre,8536,Yuta Shimada,W,1,Pts: 8x2,World Champ.,64KG,R2,2019
21519,8884,Alexsandro Sodre,,A. Santos,W,1,Armlock,Team Nationals,77KG,R1,2019
21773,8884,Alexsandro Sodre,,Pedro Nejaime,W,1,Points,Brasileiro NoGi,67KG,4F,2019
21776,8884,Alexsandro Sodre,,Bernardo Dib,W,1,Points,Brasileiro NoGi,67KG,SF,2019
21777,8884,Alexsandro Sodre,10953,Danilo Moreira,W,1,Armbar,Brasileiro NoGi,67KG,F,2019
22097,8884,Alexsandro Sodre,,Osmar Telles,W,1,N/A,Curitiba SPO,70KG,SF,2019
22099,8884,Alexsandro Sodre,9094,Richar Nogueira,W,1,Points,Curitiba SPO,70KG,F,2019
22277,8884,Alexsandro Sodre,,Marcos Santos,W,1,Pts: 12x0,Grand Slam RJ,69KG,R1,2019
22282,8884,Alexsandro Sodre,,Bernardo Dib,W,1,Pts: 2x0,Grand Slam RJ,69KG,R2,2019
22289,8884,Alexsandro Sodre,,Pedro Neto,W,1,Pts: 8x6,Grand Slam RJ,69KG,4F,2019
22291,8884,Alexsandro Sodre,,Marlus Salgado,W,1,Pts: 10x6,Grand Slam RJ,69KG,SF,2019
22293,8884,Alexsandro Sodre,10232,Gabriel Figueiro,W,1,Pts: 6x2,Grand Slam RJ,69KG,F,2019
22838,8884,Alexsandro Sodre,,Thiago Cintra,W,1,Pts: 5x2,NoGi Worlds,67KG,R1,2019
22843,8884,Alexsandro Sodre,8866,Thomas Halpin,W,1,Pts: 6x0,NoGi Worlds,67KG,4F,2019
22847,8884,Alexsandro Sodre,7698,Gabriel Marangoni,W,1,Referee Decision,NoGi Worlds,67KG,SF,2019
22849,8884,Alexsandro Sodre,9051,Gabriel Sousa,W,1,Referee Decision,NoGi Worlds,67KG,F,2019
23082,8884,Alexsandro Sodre,13175,Ariel Tabak,W,1,"Pts: 2x2, Adv",European Open,70KG,R2,2020
23085,8884,Alexsandro Sodre,10408,Israel Sousa,W,1,Referee Decision,European Open,70KG,4F,2020
23320,8884,Alexsandro Sodre,,Andrey Adam,W,1,Armbar,Brazil Nat. Pro,69KG,SF,2020
23321,8884,Alexsandro Sodre,,William Campos,W,1,50/50 armbar,Brazil Nat. Pro,69KG,F,2020
23352,8884,Alexsandro Sodre,,Eduardo Bastezini,W,1,N/A,Curitiba SO,70KG,4F,2020
23354,8884,Alexsandro Sodre,,Yago Rodrigues,W,1,Points,Curitiba SO,70KG,SF,2020
24268,8884,Alexsandro Sodre,,Gui Augusto,W,1,50/50 armbar,Brasileiro CBJJE,70KG,SF,2020
24677,8884,Alexsandro Sodre,,Caio Santos,W,1,Pts: 14x0,Grand Slam RJ,69KG,R1,2020
24908,8884,Alexsandro Sodre,,Andre Brito,W,1,Armbar,South American,76KG,R1,2020
24915,8884,Alexsandro Sodre,,Victor Moraes,W,1,Armbar,South American,76KG,4F,2020
24919,8884,Alexsandro Sodre,10835,Eduardo Avelar,W,1,Referee Decision,South American,76KG,SF,2020
24921,8884,Alexsandro Sodre,11872,Luiz Paulo,W,1,Points,South American,76KG,F,2020
25108,8884,Alexsandro Sodre,,L. Lima,W,1,Choke from back,Brazil Nat. Pro,69KG,SF,2021
25292,8884,Alexsandro Sodre,,Douglas Ramos,W,1,Pts: 5x0,Rio Open,70KG,R1,2021
25294,8884,Alexsandro Sodre,,Miguel Scalercio,W,1,Points,Rio Open,70KG,4F,2021
25296,8884,Alexsandro Sodre,,Mychel Carmo,W,1,Omoplata choke,Rio Open,70KG,SF,2021
26365,8884,Alexsandro Sodre,11512,Lukete Silva,W,1,Pts: 4x2,SA Cont. Pro,69KG,8F,2021
