match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
16665,8974,Kaynan Duarte,8514,Fellipe Andrew,L,0,Pts: 2x0,Copa Podio,O94KG,F,2018
16760,8974,Kaynan Duarte,8514,Fellipe Andrew,L,0,Katagatame,SP BJJ Pro,94KG,SF,2018
16836,8974,Kaynan Duarte,8514,Fellipe Andrew,L,0,Pts: 2x0,ACBJJ World,95KG,F,2018
17406,8974,Kaynan Duarte,6550,Gordon Ryan,L,0,RNC,No Gi Pan Am.,ABS,F,2018
17458,8974,Kaynan Duarte,6805,Max Gimenis,L,0,Referee Decision,No Gi Pan Am.,O97KG,SF,2018
17824,8974,Kaynan Duarte,8357,Gustavo Batista,L,0,Referee Decision,WSOG 2,O81KG,SF,2018
17825,8974,Kaynan Duarte,3009,Keenan Cornelius,L,0,Referee Decision,WSOG 2,O81KG,3RD,2018
18959,8974,Kaynan Duarte,358,Lucas Lepri,L,0,"Pts: 4x4, Pen",European Open,ABS,SF,2019
20326,8974,Kaynan Duarte,9180,Vinicius Trator,L,0,Referee Decision,Brasileiro,94KG,4F,2019
20382,8974,Kaynan Duarte,7507,Nicholas Meregali,L,0,Choke from back,Brasileiro,ABS,SF,2019
20766,8974,Kaynan Duarte,2403,Joao Rocha,L,0,"Pts: 0x0, Adv",King of Mats,110KG,F,2019
21908,8974,Kaynan Duarte,8682,Lachlan Giles,L,0,Inside heel hook,ADCC,ABS,R1,2019
23928,8974,Kaynan Duarte,224,Roberto Abreu,L,0,Inside heel hook,BJJ Bet,95KG,SPF,2020
27927,8974,Kaynan Duarte,4310,Tim Spriggs,L,0,Inside heel hook,WNO Champ.,ABS,F,2021
29442,8974,Kaynan Duarte,7507,Nicholas Meregali,L,0,Referee Decision,World Champ.,ABS,SF,2021
33036,8974,Kaynan Duarte,8514,Fellipe Andrew,L,0,Botinha,World Champ.,ABS,4F,2022
38976,8974,Kaynan Duarte,12122,Mica Galvao,L,0,DQ,BJJ Stars,ABS,4F,2023
40362,8974,Kaynan Duarte,11693,Erich Munis,L,0,Referee Decision,World Champ.,100KG,F,2023
40491,8974,Kaynan Duarte,10159,Victor Hugo,L,0,"Pts: 0x0, Adv",World Champ.,ABS,SF,2023
42001,8974,Kaynan Duarte,7507,Nicholas Meregali,L,0,Katagatame,WNO 19,ABS,SPF,2023
16648,8974,Kaynan Duarte,9067,Leonardo Lara,W,1,Toe hold,Copa Podio,O94KG,RR,2018
