match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
18814,9014,Levi Jones-Leary,7831,Diego Ramalho,L,0,"Pts: 0x0, Adv",Grand Slam AD,77KG,F,2019
19369,9014,Levi Jones-Leary,5414,Osvaldo Moizinho,L,0,Referee Decision,Spyder Inv.,76KG,SF,2019
20101,9014,Levi Jones-Leary,,Oliver Lovell,L,0,Kneebar,World Pro,77KG,R2,2019
20628,9014,Levi Jones-Leary,,L. Larman,L,0,DQ,World Champ.,76KG,R2,2019
21077,9014,Levi Jones-Leary,8996,Mauricio Oliveira,L,0,Pts: 2x0,NY BJJ Pro,82KG,F,2019
21244,9014,Levi Jones-Leary,7831,Diego Ramalho,L,0,Pts: 4x2,Grand Slam TYO,77KG,F,2019
28266,9014,Levi Jones-Leary,8138,Hugo Marques,L,0,Pts: 2x0,NoGi Worlds,79KG,R2,2021
29206,9014,Levi Jones-Leary,12122,Mica Galvao,L,0,Triangle,World Pro,77KG,4F,2021
29506,9014,Levi Jones-Leary,7539,Renato Canuto,L,0,Pts: 3x0,World Champ.,76KG,4F,2021
29823,9014,Levi Jones-Leary,12003,Tye Ruotolo,L,0,Kneebar,WNO 11,77KG,SPF,2022
32510,9014,Levi Jones-Leary,9793,Alexandre Jesus,L,0,Referee Decision,Atlanta SPO,82KG,F,2022
32536,9014,Levi Jones-Leary,11499,Roosevelt Sousa,L,0,Botinha,Atlanta SPO,ABS,F,2022
32762,9014,Levi Jones-Leary,10509,Mathias Luna,L,0,Referee Decision,Houston Open,82KG,F,2022
32922,9014,Levi Jones-Leary,12003,Tye Ruotolo,L,0,Pts: 8x0,World Champ.,76KG,4F,2022
33151,9014,Levi Jones-Leary,10162,Ronaldo Junior,L,0,Pts: 2x0,EUG 4,82KG,F,2022
33760,9014,Levi Jones-Leary,,Lucas Brito,L,0,Pts: 10x8,Orlando SMO,82KG,SF,2022
34616,9014,Levi Jones-Leary,10085,Johnatha Alves,L,0,Pts: 2x0,Grand Slam MIA,77KG,SF,2022
40251,9014,Levi Jones-Leary,9002,Matheus Gabriel,L,0,Referee Decision,World Champ.,76KG,R1,2023
18809,9014,Levi Jones-Leary,,Adriano Araujo,W,1,Pts: 6x2,Grand Slam AD,77KG,4F,2019
18812,9014,Levi Jones-Leary,1824,Roberto Satoshi,W,1,Pts: 4x0,Grand Slam AD,77KG,SF,2019
18894,9014,Levi Jones-Leary,6368,Kevin Mahecha,W,1,Pts: 2x0,European Open,76KG,R1,2019
18899,9014,Levi Jones-Leary,8448,Pedro Ramalho,W,1,Pts: 4x2,European Open,76KG,4F,2019
18901,9014,Levi Jones-Leary,4248,Gianni Grippo,W,1,Pts: 4x2,European Open,76KG,SF,2019
