match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
18571,9044,Livio Ribeiro,9502,Nobuhiro Sawada,L,0,Referee Decision,NoGi Worlds,55KG,F,2018
19557,9044,Livio Ribeiro,8038,Hiago Gama,L,0,"Pts: 2x2, Adv",Pan American,57KG,4F,2019
20566,9044,Livio Ribeiro,,Carlos Alberto,L,0,"Pts: 4x4, Adv",World Champ.,57KG,R1,2019
26072,9044,Livio Ribeiro,12251,Roiter Lima,L,0,Pts: 11x4,NoGi Pan Am.,55KG,4F,2021
30849,9044,Livio Ribeiro,,Bebeto Oliveira,L,0,"Pts: 6x6, Pen",Indianapolis Open,64KG,F,2022
16764,9044,Livio Ribeiro,,Matheus Monteiro,W,1,Choke from back,Mundial CBJJE,57KG,SF,2018
16765,9044,Livio Ribeiro,,Dalvan Nunes,W,1,Armbar,Mundial CBJJE,57KG,F,2018
18049,9044,Livio Ribeiro,,Andre Pontes,W,1,Pts: 4x0,SJJIF Worlds,57KG,SF,2018
18050,9044,Livio Ribeiro,,Javier Gomes,W,1,Triangle,SJJIF Worlds,57KG,F,2018
18444,9044,Livio Ribeiro,9377,Alexis Alduncin,W,1,Points,GT Open,64KG,SPF,2018
18570,9044,Livio Ribeiro,7476,Kristian Woodmansee,W,1,"Pts: 0x0, Adv",NoGi Worlds,55KG,SF,2018
19553,9044,Livio Ribeiro,7476,Kristian Woodmansee,W,1,Choke,Pan American,57KG,8F,2019
19868,9044,Livio Ribeiro,,Jose Silva,W,1,Bow and arrow,Orlando SPO,57KG,SF,2019
19870,9044,Livio Ribeiro,,Suraj Budhram,W,1,"Pts: 2x2, Adv",Orlando SPO,57KG,F,2019
20871,9044,Livio Ribeiro,,Robson Silva,W,1,Choke,Fortaleza Open,64KG,SF,2019
20873,9044,Livio Ribeiro,,Lucas Nascimento,W,1,Submission,Fortaleza Open,64KG,F,2019
20890,9044,Livio Ribeiro,,Gabriel Mendonca,W,1,Pts: 4x0,Fortaleza NGO,62KG,F,2019
21283,9044,Livio Ribeiro,,Wesley Santos,W,1,"Pts: 0x0, Adv",Vitoria Open,64KG,F,2019
21325,9044,Livio Ribeiro,,Ricardo Primo,W,1,DQ,Floripa WO,64KG,SF,2019
21326,9044,Livio Ribeiro,,Leo Alves,W,1,"Pts: 2x2, Adv",Floripa WO,64KG,F,2019
21714,9044,Livio Ribeiro,,Ricardo Silva,W,1,Points,Sao Paulo Open,57KG,SF,2019
21715,9044,Livio Ribeiro,,Dalvan Nunes,W,1,N/A,Sao Paulo Open,57KG,F,2019
21765,9044,Livio Ribeiro,,Lucas Souza,W,1,Points,Brasileiro NoGi,55KG,SF,2019
21766,9044,Livio Ribeiro,,Luciano Vieira,W,1,Points,Brasileiro NoGi,55KG,F,2019
22095,9044,Livio Ribeiro,,Kalel Nascimento,W,1,Referee Decision,Curitiba SPO,64KG,SF,2019
22096,9044,Livio Ribeiro,,Yuri Gomes,W,1,Points,Curitiba SPO,64KG,F,2019
22545,9044,Livio Ribeiro,,Levy Jackson,W,1,Points,South American,57KG,4F,2019
22547,9044,Livio Ribeiro,,Joao Antonio,W,1,"Pts: 0x0, Adv",South American,57KG,SF,2019
22549,9044,Livio Ribeiro,11212,Yuri Hendrex,W,1,DQ,South American,57KG,F,2019
25397,9044,Livio Ribeiro,,Rashawn Kershaw,W,1,Points,Orlando Open,57KG,SF,2021
25399,9044,Livio Ribeiro,,Lee Rosensfield,W,1,Pts: 19x4,Orlando Open,57KG,F,2021
26253,9044,Livio Ribeiro,,Carlos Robles,W,1,Points,Miami Open,64KG,SF,2021
26254,9044,Livio Ribeiro,,Igor Mancebo,W,1,Points,Miami Open,64KG,F,2021
26650,9044,Livio Ribeiro,12251,Roiter Lima,W,1,"Pts: 8x8, Adv",American Nats,57KG,SF,2021
26652,9044,Livio Ribeiro,,Henrique Rossi,W,1,Loop choke,American Nats,57KG,F,2021
26929,9044,Livio Ribeiro,,Jorge Vasquez,W,1,Choke from back,Austin Open,64KG,F,2021
26994,9044,Livio Ribeiro,,K. Martincowski,W,1,Adv,Orlando Open,64KG,SF,2021
26995,9044,Livio Ribeiro,,Michael Mehl,W,1,DQ,Orlando Open,64KG,F,2021
27037,9044,Livio Ribeiro,,Chris Fisher,W,1,Triangle,Phoenix Open,64KG,SF,2021
27525,9044,Livio Ribeiro,,Lee Rosenfield,W,1,Triangle,Pan American,58KG,4F,2021
27527,9044,Livio Ribeiro,,Kevin Martincowski,W,1,Toe hold,Pan American,58KG,SF,2021
27529,9044,Livio Ribeiro,8038,Hiago Gama,W,1,Pts: 6x2,Pan American,58KG,F,2021
30499,9044,Livio Ribeiro,,Matheus Fonseca,W,1,DQ,N. Orleans Open,57KG,F,2022
30847,9044,Livio Ribeiro,,Matheus Magalhaes,W,1,Points,Indianapolis Open,64KG,SF,2022
31270,9044,Livio Ribeiro,,Aidan Collins,W,1,Points,Boise Open,64KG,F,2022
32615,9044,Livio Ribeiro,,Michael Alvarez,W,1,Pts: 4x2,Denver Open,64KG,SF,2022
32616,9044,Livio Ribeiro,,Ram Ananda,W,1,Triangle,Denver Open,64KG,F,2022
33851,9044,Livio Ribeiro,,John Rodrigues,W,1,Submission,Phoenix Open,70KG,4F,2022
33853,9044,Livio Ribeiro,,Aidan Collins,W,1,Armbar,Phoenix Open,70KG,SF,2022
35469,9044,Livio Ribeiro,,Evgueny Metchenov,W,1,Triangle,Twin Cities Open,64KG,RR,2022
35471,9044,Livio Ribeiro,,Luis Pinto,W,1,Armbar,Twin Cities Open,64KG,F,2022
