match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
16998,9051,Gabriel Sousa,6060,Tomoyuki Hashimoto,L,0,"Pts: 0x0, Adv",Grand Slam TYO,62KG,F,2018
17144,9051,Gabriel Sousa,9515,Seif Houmine,L,0,Choke,ACBJJ Poland,ABS,R1,2018
18259,9051,Gabriel Sousa,6151,Hiago George,L,0,Botinha,Grand Slam RJ,62KG,F,2018
18799,9051,Gabriel Sousa,7156,Tiago Bravo,L,0,"Pts: 0x0, Pen",Grand Slam AD,69KG,SF,2019
19474,9051,Gabriel Sousa,6151,Hiago George,L,0,Referee Decision,King of Mats,69KG,RR,2019
19492,9051,Gabriel Sousa,6103,Isaac Doederlein,L,0,Wristlock,King of Mats,69KG,SF,2019
19493,9051,Gabriel Sousa,6151,Hiago George,L,0,Pts: 6x4,King of Mats,69KG,3RD,2019
19976,9051,Gabriel Sousa,,Carlos Oliveira,L,0,Points,San Jose Open,64KG,RR,2019
20576,9051,Gabriel Sousa,5789,Tiago Barros,L,0,Pts: 9x4,World Champ.,64KG,R2,2019
21227,9051,Gabriel Sousa,6103,Isaac Doederlein,L,0,Straight ankle lock,King of Mats,69KG,F,2019
21230,9051,Gabriel Sousa,10293,Jonas Andrade,L,0,Referee Decision,Grand Slam TYO,62KG,F,2019
22264,9051,Gabriel Sousa,10840,Diego Oliveira,L,0,Referee Decision,Grand Slam RJ,62KG,4F,2019
22270,9051,Gabriel Sousa,,Judinei Silva,L,0,Pts: 2x0,Grand Slam RJ,62KG,RPC,2019
22802,9051,Gabriel Sousa,6151,Hiago George,L,0,Inside heel hook,F2W 133,65KG,SPF,2019
22849,9051,Gabriel Sousa,8884,Alex Sodre,L,0,Referee Decision,NoGi Worlds,67KG,F,2019
23089,9051,Gabriel Sousa,8231,Leo Saggioro,L,0,Referee Decision,European Open,70KG,SF,2020
23581,9051,Gabriel Sousa,10840,Diego Oliveira,L,0,Pts: 6x3,European Pro,69KG,SF,2020
24459,9051,Gabriel Sousa,9031,Kennedy Maciel,L,0,Botinha,No Gi Pan Am.,67KG,F,2020
25038,9051,Gabriel Sousa,10840,Diego Oliveira,L,0,Referee Decision,F2W 161,65KG,SPF,2021
25512,9051,Gabriel Sousa,10408,Israel Sousa,L,0,Pts: 12x1,Grand Slam AD,69KG,SF,2021
25657,9051,Gabriel Sousa,10408,Israel Sousa,L,0,Americana,World Pro,69KG,SF,2021
25951,9051,Gabriel Sousa,10085,Johnatha Alves,L,0,Katagatame,Artista JJ,N/A,SPF,2021
27211,9051,Gabriel Sousa,,Damien Anderson,L,0,Inside heel hook,Emerald City,65KG,4F,2021
27564,9051,Gabriel Sousa,7002,Jamil Hill-Taylor,L,0,Pts: 4x2,Pan American,70KG,F,2021
27920,9051,Gabriel Sousa,12005,Kade Ruotolo,L,0,Darce choke,WNO Champ.,70KG,F,2021
28235,9051,Gabriel Sousa,10840,Diego Oliveira,L,0,"Pts: 2x2, Adv",NoGi Worlds,67KG,F,2021
28705,9051,Gabriel Sousa,10840,Diego Oliveira,L,0,Referee Decision,EUG NoGi,70KG,SF,2021
29479,9051,Gabriel Sousa,9094,Richar Nogueira,L,0,Pts: 4x2,World Champ.,70KG,8F,2021
30890,9051,Gabriel Sousa,8814,Adam Benayoun,L,0,EBI/OT,Emerald City,70KG,4F,2022
31293,9051,Gabriel Sousa,12491,Keith Krikorian,L,0,Referee Decision,WNO 12,70KG,SPF,2022
32890,9051,Gabriel Sousa,11510,Samuel Nagai,L,0,Violin armlock,World Champ.,70KG,8F,2022
35014,9051,Gabriel Sousa,11823,Diogo Reis,L,0,Pts: 3x0,ADCC,66KG,F,2022
37725,9051,Gabriel Sousa,9074,Joao Mendes,L,0,Pts: 7x2,Memphis Open,76KG,F,2023
38818,9051,Gabriel Sousa,12537,Pedro Machado,L,0,"Pts: 2x2, Adv",Charleston Open,ABS,F,2023
40242,9051,Gabriel Sousa,6103,Isaac Doederlein,L,0,Pts: 2x0,World Champ.,70KG,4F,2023
43160,9051,Gabriel Sousa,11823,Diogo Reis,L,0,N/A,WNO 20,70KG,F,2023
16810,9051,Gabriel Sousa,6151,Hiago George,W,1,Pts: 2x0,ACBJJ World,60KG,SF,2018
16812,9051,Gabriel Sousa,6043,Lucas Pinheiro,W,1,Referee Decision,ACBJJ World,60KG,F,2018
16994,9051,Gabriel Sousa,,Kazuya Kawashima,W,1,Pts: 6x2,Grand Slam TYO,62KG,4F,2018
16996,9051,Gabriel Sousa,,Jun Sakamoto,W,1,Pts: 4x0,Grand Slam TYO,62KG,SF,2018
17132,9051,Gabriel Sousa,,Lukasz Bilski,W,1,Points,ACBJJ Poland,65KG,RR,2018
17133,9051,Gabriel Sousa,,Kuba Witkowski,W,1,Points,ACBJJ Poland,65KG,RR,2018
17517,9051,Gabriel Sousa,,Juan Guadarrama,W,1,N/A,Atlanta SMO,64KG,SF,2018
17518,9051,Gabriel Sousa,,Suraj Budhram,W,1,Pts: 8x0,Atlanta SMO,64KG,F,2018
17546,9051,Gabriel Sousa,9377,Alexis Alduncin,W,1,Pts: 4x2,Grand Slam LA,62KG,4F,2018
17549,9051,Gabriel Sousa,8305,Pedro Dias,W,1,Referee Decision,Grand Slam LA,62KG,SF,2018
17551,9051,Gabriel Sousa,6151,Hiago George,W,1,Pts: 2x0,Grand Slam LA,62KG,F,2018
17889,9051,Gabriel Sousa,,Juan Calderon,W,1,Pts: 11x0,Panama Pro,69KG,SF,2018
17890,9051,Gabriel Sousa,,John Boyle,W,1,Choke,Panama Pro,69KG,F,2018
17891,9051,Gabriel Sousa,,Jan Basso,W,1,"Pts: 0x0, Adv",Portugal Pro,69KG,SF,2018
17892,9051,Gabriel Sousa,,Cedric Akakpovi,W,1,Submission,Portugal Pro,69KG,F,2018
