match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
17448,9157,Devhonte Johnson,4145,Thiago Sa,L,0,Referee Decision,No Gi Pan Am.,91KG,4F,2018
18048,9157,Devhonte Johnson,7914,Nick Calvanese,L,0,Referee Decision,F2W 91,ABS,SPF,2018
18149,9157,Devhonte Johnson,,Nicholas Albin,L,0,Referee Decision,ADCC EC Trials,99KG,R1,2018
18675,9157,Devhonte Johnson,3200,Jackson Sousa,L,0,"Pts: 0x0, Adv",NoGi Worlds,91KG,SF,2018
19197,9157,Devhonte Johnson,967,JT Torres,L,0,Pts: 2x0,Atlanta WO,ABS,4F,2019
19638,9157,Devhonte Johnson,8357,Gustavo Batista,L,0,Arm in Ezekiel,Pan American,88KG,8F,2019
19676,9157,Devhonte Johnson,1188,Leandro Lo,L,0,Pts: 2x0,Pan American,ABS,R2,2019
20120,9157,Devhonte Johnson,6301,Faisal AlKitbe,L,0,"Pts: 0x0, Pen",World Pro,85KG,4F,2019
20129,9157,Devhonte Johnson,2226,DJ Jackson,L,0,Referee Decision,World Pro,85KG,3RD,2019
20659,9157,Devhonte Johnson,477,Tarsis Humphreys,L,0,Pts: 2x0,World Champ.,88KG,R1,2019
21079,9157,Devhonte Johnson,4310,Tim Spriggs,L,0,"Pts: 2x2, Pen",NY BJJ Pro,94KG,F,2019
21602,9157,Devhonte Johnson,3009,Keenan Cornelius,L,0,Pts: 4x2,No Gi Pan Am.,97KG,SF,2019
21622,9157,Devhonte Johnson,3009,Keenan Cornelius,L,0,Armlock,No Gi Pan Am.,ABS,SF,2019
22199,9157,Devhonte Johnson,10644,Marcelo Gomide,L,0,Referee Decision,European NoGi,ABS,F,2019
22675,9157,Devhonte Johnson,6805,Max Gimenis,L,0,Pts: 2x0,NYC Fall Open,ABS,SF,2019
22826,9157,Devhonte Johnson,224,Roberto Abreu,L,0,Referee Decision,NoGi Worlds,ABS,SF,2019
22897,9157,Devhonte Johnson,3200,Jackson Sousa,L,0,DQ,NoGi Worlds,91KG,SF,2019
23912,9157,Devhonte Johnson,8686,Fellipe Trovo,L,0,Triangle,SUBVERSIV 3,ABS,F,2020
24107,9157,Devhonte Johnson,6805,Max Gimenis,L,0,Choke from back,Pan American,ABS,4F,2020
24213,9157,Devhonte Johnson,5417,Guilherme Augusto,L,0,Pts: 8x2,Pan American,100KG,SF,2020
24411,9157,Devhonte Johnson,4430,Patrick Gaudio,L,0,"Pts: 0x0, Adv",BJJ Stars 4,100KG,SPF,2020
25208,9157,Devhonte Johnson,5417,Guilherme Augusto,L,0,"Pts: 0x0, Adv",Dallas Open,O100KG,F,2021
26330,9157,Devhonte Johnson,1740,Yuri Simoes,L,0,Referee Decision,F2W 172,124KG,SPF,2021
