match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
18094,9180,Vinicius Ferreira,8974,Kaynan Duarte,L,0,Pts: 2x0,Spyder Inv. Final,O76KG,SF,2018
18326,9180,Vinicius Ferreira,9361,Guilherme Cordiviola,L,0,"Pts: 0x0, Adv",Grand Slam RJ,110KG,R1,2018
19467,9180,Vinicius Ferreira,11991,Pedro Marinho,L,0,Pts: 3x2,Elite Grappling 3,ABS,F,2019
19652,9180,Vinicius Ferreira,1188,Leandro Lo,L,0,Referee Decision,Pan American,94KG,4F,2019
19786,9180,Vinicius Ferreira,,S. Vilas,L,0,Points,Kasai 5,ABS,SPF,2019
19914,9180,Vinicius Ferreira,2226,DJ Jackson,L,0,"Pts: 0x0, Adv",Washington DCO,ABS,F,2019
20372,9180,Vinicius Ferreira,5509,Victor Honorio,L,0,Referee Decision,Brasileiro,ABS,R3,2019
20692,9180,Vinicius Ferreira,1188,Leandro Lo,L,0,DQ,World Champ.,94KG,SF,2019
20738,9180,Vinicius Ferreira,8514,Fellipe Andrew,L,0,Referee Decision,World Champ.,ABS,4F,2019
20857,9180,Vinicius Ferreira,7743,Inacio Neto,L,0,Referee Decision,Third Coast,94KG,SPF,2019
21081,9180,Vinicius Ferreira,6805,Max Gimenis,L,0,Referee Decision,NY BJJ Pro,O94KG,F,2019
21484,9180,Vinicius Ferreira,2403,Joao Rocha,L,0,Adv,IBJJF GP,ABS,SF,2019
21617,9180,Vinicius Ferreira,9157,Devhonte Johnson,L,0,Pts: 2x0,No Gi Pan Am.,ABS,8F,2019
21890,9180,Vinicius Ferreira,6550,Gordon Ryan,L,0,Choke,ADCC,99KG,F,2019
22823,9180,Vinicius Ferreira,10159,Victor Hugo,L,0,"Pts: 0x0, Adv",NoGi Worlds,ABS,4F,2019
23418,9180,Vinicius Ferreira,8974,Kaynan Duarte,L,0,Referee Decision,F2W 136,120KG,SPF,2020
