match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
17907,9217,Caio Caetano,8602,Eduardo Tinoco,L,0,Points,Curitiba SPO,82KG,R1,2018
18844,9217,Caio Caetano,8100,Rudson Mateus,L,0,Armbar,King of Mats II,85KG,RR,2019
18846,9217,Caio Caetano,8215,Espen Mathiesen,L,0,Choke from back,King of Mats II,85KG,RR,2019
18848,9217,Caio Caetano,6071,Gabriel Arges,L,0,Referee Decision,King of Mats II,85KG,RR,2019
19723,9217,Caio Caetano,9554,Henrique Cardoso,L,0,Toe hold,Floripa Fall Open,88KG,SF,2019
19926,9217,Caio Caetano,9573,Marcos Martins,L,0,North south choke,Curitiba Pro,82KG,4F,2019
20300,9217,Caio Caetano,9573,Marcos Martins,L,0,Choke,Brasileiro,82KG,4F,2019
21099,9217,Caio Caetano,8138,Hugo Marques,L,0,Referee Decision,BH Winter Open,82KG,F,2019
21199,9217,Caio Caetano,9067,Leonardo Lara,L,0,Points,Mundial CBJJE,82KG,SF,2019
21285,9217,Caio Caetano,10932,Gustavo Maron,L,0,Pts: 8x2,Vitoria Open,82KG,F,2019
21298,9217,Caio Caetano,12243,Leon Brito,L,0,Points,Vitoria Open,ABS,R1,2019
21679,9217,Caio Caetano,7831,Diego Ramalho,L,0,"Pts: 2x2, Adv",Grand Slam LA,77KG,SF,2019
21684,9217,Caio Caetano,4235,Victor Silverio,L,0,"Pts: 2x2, Adv",Grand Slam LA,77KG,RPC,2019
22303,9217,Caio Caetano,10216,Natan Chueng,L,0,Pts: 2x0,Grand Slam RJ,77KG,R2,2019
25201,9217,Caio Caetano,11697,Tainan Dalpra,L,0,Choke from back,Dallas Open,82KG,F,2021
25420,9217,Caio Caetano,11697,Tainan Dalpra,L,0,Choke from back,Orlando Open,82KG,SF,2021
26011,9217,Caio Caetano,12203,Austin Baker,L,0,Katagatame,N.Orleans Open,O100KG,F,2021
26020,9217,Caio Caetano,12203,Austin Baker,L,0,Pts: 12x2,N.Orleans Open,ABS,F,2021
26579,9217,Caio Caetano,7143,Breno Bittencourt,L,0,N/A,Boise Open,82KG,SF,2021
27247,9217,Caio Caetano,11697,Tainan Dalpra,L,0,Armbar,Grand Slam MIA,77KG,SF,2021
27587,9217,Caio Caetano,10835,Eduardo Avelar,L,0,Pts: 18x10,Pan American,82KG,8F,2021
28160,9217,Caio Caetano,12275,Davi Cabral,L,0,Kneebar,Charlotte Open,ABS,SF,2021
29036,9217,Caio Caetano,10509,Mathias Luna,L,0,Triangle,JJ CON,82KG,4F,2021
30947,9217,Caio Caetano,,Piter Frank,L,0,Pts: 6x2,LA Open,82KG,4F,2022
31674,9217,Caio Caetano,10509,Mathias Luna,L,0,Pts: 13x6,Pan American,82KG,R2,2022
32938,9217,Caio Caetano,11697,Tainan Dalpra,L,0,Choke from back,World Champ.,82KG,8F,2022
35205,9217,Caio Caetano,9876,Alef Brito,L,0,"Pts: 4x4, Adv",Atlanta FO,82KG,SF,2022
35221,9217,Caio Caetano,,Pedro Pessoa,L,0,Choke from back,Atlanta FO,ABS,4F,2022
35476,9217,Caio Caetano,8261,Rolando Samson,L,0,Referee Decision,Twin Cities Open,82KG,F,2022
35896,9217,Caio Caetano,11878,Andy Murasaki,L,0,Submission,Houston FO,82KG,SF,2022
42890,9217,Caio Caetano,9793,Alexandre Jesus,L,0,Pts: 3x2,ADGS Miami,77KG,4F,2023
17071,9217,Caio Caetano,,Eric Medeiros,W,1,Kneebar,Vitoria Open,82KG,R1,2018
17072,9217,Caio Caetano,,Chairo Olimpio,W,1,Kneebar,Vitoria Open,82KG,4F,2018
17073,9217,Caio Caetano,,Jonas Campos,W,1,Points,Vitoria Open,82KG,SF,2018
17074,9217,Caio Caetano,,Chaise Olimpio,W,1,Points,Vitoria Open,82KG,F,2018
17164,9217,Caio Caetano,,Andrey Martins,W,1,Points,Floripa W. Open,82KG,R1,2018
17166,9217,Caio Caetano,6596,Jhonny Loureiro,W,1,Kneebar,Floripa W. Open,82KG,4F,2018
17169,9217,Caio Caetano,,Yuri Abreu,W,1,Injury,Floripa W. Open,82KG,SF,2018
17171,9217,Caio Caetano,,Ygor Dantas,W,1,Arm in Ezekiel,Floripa W. Open,82KG,F,2018
