match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
7672,9246,Aaron Johnson,,Quentin Rosensweig,L,0,Inside heel hook,Kakuto 5,ABS,SPF,2015
8190,9246,Aaron Johnson,,Neiman Gracie,L,0,RNC,NoGi Pan Ams,94KG,SF,2015
8785,9246,Aaron Johnson,6531,Richie Martinez,L,0,Heel hook,Kakuto Challenge,ABS,SF,2015
9059,9246,Aaron Johnson,1272,Leo Nogueira,L,0,Points,Atlanta W. Open,94KG,SF,2016
9110,9246,Aaron Johnson,7579,Romulo Azevedo,L,0,N/A,UAEJJF NYC Pro,94KG,SF,2016
9116,9246,Aaron Johnson,3083,Abraham Marte,L,0,Cross choke,UAEJJF NYC Pro,HWABS,4F,2016
9373,9246,Aaron Johnson,144,Andre Galvao,L,0,Choke,Pan American,ABS,R2,2016
9500,9246,Aaron Johnson,,Joao Soares,L,0,Triangle,Boston Spring O.,100KG,F,2016
10087,9246,Aaron Johnson,425,Bernardo Faria,L,0,Triangle armbar,World Champ.,ABS,R2,2016
10120,9246,Aaron Johnson,2403,Joao Rocha,L,0,Choke from back,BJJ Tour - CT,ABS,SF,2016
10274,9246,Aaron Johnson,4789,Marcos Tinoco,L,0,Points,NY Summer Open,ABS,4F,2016
10489,9246,Aaron Johnson,,Mike Hillebrand,L,0,Inside heel hook,EBI 8,84KG,R1,2016
10684,9246,Aaron Johnson,5258,Dillon Danis,L,0,Arm in guillotine,NoGi Pan Ams,ABS,SF,2016
10944,9246,Aaron Johnson,1740,Yuri Simoes,L,0,Pts: 19x0,NoGi Worlds,O97KG,SF,2016
11671,9246,Aaron Johnson,1272,Leo Nogueira,L,0,Points,UAEJJF Orlando,110KG,F,2017
11687,9246,Aaron Johnson,7704,Helton Jose,L,0,Pts: 10x0,Atlanta W. Open,ABS,SF,2017
11947,9246,Aaron Johnson,6354,Jonathan Satava,L,0,Points,UAEJJF NY Pro,U110KG,4F,2017
12001,9246,Aaron Johnson,3009,Keenan Cornelius,L,0,Points,LA National Pro,U110KG,F,2017
12224,9246,Aaron Johnson,6156,Tanner Rice,L,0,Pts: 4x2,Pan American,94KG,8F,2017
12416,9246,Aaron Johnson,4248,Gianni Grippo,L,0,Points,NY Spring No-Gi,ABS,F,2017
13021,9246,Aaron Johnson,2403,Joao Rocha,L,0,Botinha,World Champ.,ABS,R1,2017
13190,9246,Aaron Johnson,1188,Leandro Lo,L,0,Brabo choke,World Champ.,94KG,8F,2017
13426,9246,Aaron Johnson,5842,Mahamed Aly,L,0,Calf slicer,NY S. No-Gi Open,O97KG,F,2017
13434,9246,Aaron Johnson,2226,DJ Jackson,L,0,Points,NY S. No-Gi Open,ABS,SF,2017
13647,9246,Aaron Johnson,6550,Gordon Ryan,L,0,Reverse triangle,Grappling Ind.,ABS,SF,2017
14552,9246,Aaron Johnson,8346,Craig Jones,L,0,Inside heel hook,EBI 14,ABS,SF,2017
14715,9246,Aaron Johnson,644,Joao Assis,L,0,Pts: 2x0,NoGi Worlds,97KG,SF,2017
14727,9246,Aaron Johnson,3009,Keenan Cornelius,L,0,RNC,NoGi Worlds,ABS,R1,2017
14985,9246,Aaron Johnson,6592,Dany Gerard,L,0,"Pts: 0x0, Adv",US National Pro,110KG,SF,2018
15219,9246,Aaron Johnson,8729,Matt Leighton,L,0,Points,Continental Pro,110KG,RR,2018
15310,9246,Aaron Johnson,6156,Tanner Rice,L,0,DQ,Marianas EP,O85KG,F,2018
15439,9246,Aaron Johnson,6156,Tanner Rice,L,0,Pts: 7x2,Pan American,94KG,4F,2018
16311,9246,Aaron Johnson,8729,Matt Leighton,L,0,Triangle armbar,F2W 73,93KG,SPF,2018
16362,9246,Aaron Johnson,8686,Fellipe Trovo,L,0,Pts: 4x2,ACB North America,95KG,4F,2018
16375,9246,Aaron Johnson,4235,Victor Silverio,L,0,Referee Decision,ACB North America,ABS,8F,2018
17389,9246,Aaron Johnson,8634,Rafael Vasconcelos,L,0,DQ,Washington NGO,97KG,F,2018
17396,9246,Aaron Johnson,1003,Diogo Sampaio,L,0,DQ,No Gi Pan Am.,ABS,8F,2018
18691,9246,Aaron Johnson,6805,Max Gimenis,L,0,Pts: 6x0,NoGi Worlds,O97KG,4F,2018
18714,9246,Aaron Johnson,1740,Yuri Simoes,L,0,Pts: 5x0,NoGi Worlds,ABS,R3,2018
18864,9246,Aaron Johnson,3009,Keenan Cornelius,L,0,Pts: 34x0,Coast Grappling,ABS,SPF,2019
19650,9246,Aaron Johnson,4430,Patrick Gaudio,L,0,Pts: 15x0,Pan American,94KG,4F,2019
19804,9246,Aaron Johnson,8974,Kaynan Duarte,L,0,Pts: 6x1,Kasai 5,93KG,F,2019
20702,9246,Aaron Johnson,5842,Mahamed Aly,L,0,Choke,World Champ.,100KG,R2,2019
20973,9246,Aaron Johnson,8346,Craig Jones,L,0,RNC,KASAI SS Florida,92KG,SPF,2019
21256,9246,Aaron Johnson,4310,Tim Spriggs,L,0,Referee Decision,F2W 119,100KG,SPF,2019
21607,9246,Aaron Johnson,6805,Max Gimenis,L,0,Pts: 11x0,No Gi Pan Am.,O97KG,F,2019
21832,9246,Aaron Johnson,1827,James Puopolo,L,0,Pts: 3x0,ADCC,99KG,R1,2019
21911,9246,Aaron Johnson,984,Marcus Almeida,L,0,Pts: 3x0,ADCC,ABS,4F,2019
22505,9246,Aaron Johnson,10705,Kyle Boehm,L,0,EBI/OT,KOTM 7,ABS,F,2019
22537,9246,Aaron Johnson,10705,Kyle Boehm,L,0,EBI/OT,BJJ Fanatics,ABS,SF,2019
22816,9246,Aaron Johnson,10159,Victor Hugo,L,0,Triangle armbar,NoGi Worlds,ABS,R1,2019
22901,9246,Aaron Johnson,,Freddy Vosgrone,L,0,Referee Decision,NoGi Worlds,97KG,4F,2019
23452,9246,Aaron Johnson,6550,Gordon Ryan,L,0,Katagatame,Sub Stars,N/A,SPF,2020
24053,9246,Aaron Johnson,8634,Rafael Vasconcelos,L,0,Pts: 3x0,Grand Slam MIA,94KG,SF,2020
24059,9246,Aaron Johnson,8686,Fellipe Trovo,L,0,Triangle,Grand Slam MIA,94KG,3RD,2020
24091,9246,Aaron Johnson,10220,Paulo Gabriel,L,0,Pts: 6x4,Pan American,ABS,R1,2020
24209,9246,Aaron Johnson,5417,Guilherme Augusto,L,0,Arm in Ezekiel,Pan American,100KG,4F,2020
24246,9246,Aaron Johnson,,Daishi Goto,L,0,DQ,NFC All Valley,ABS,SF,2020
24316,9246,Aaron Johnson,11771,William Tackett,L,0,Katagatame,Subversiv 4,ABS,4F,2020
24502,9246,Aaron Johnson,8974,Kaynan Duarte,L,0,Armbar,No Gi Pan Am.,97KG,F,2020
25102,9246,Aaron Johnson,6805,Max Gimenis,L,0,Referee Decision,F2W 163,ABS,SPF,2021
25467,9246,Aaron Johnson,9180,Vinicius Trator,L,0,Pts: 5x0,Orlando NGO,O91KG,F,2021
25578,9246,Aaron Johnson,8974,Kaynan Duarte,L,0,Points,3CG 6 Absolute,ABS,4F,2021
26036,9246,Aaron Johnson,9002,Matheus Gabriel,L,0,Pts: 2x0,N.Orleans NGO,ABS,4F,2021
26179,9246,Aaron Johnson,10159,Victor Hugo,L,0,Pts: 2x2,NoGi Pan Am.,O97KG,F,2021
26910,9246,Aaron Johnson,8357,Gustavo Batista,L,0,Referee Decision,F2W 176,N/A,SPF,2021
27892,9246,Aaron Johnson,4310,Tim Spriggs,L,0,Referee Decision,WNO Champ.,ABS,SF,2021
7673,9246,Aaron Johnson,,Vitor Schlosser,W,1,Toe hold,NY Summer Open,94KG,SF,2015
7674,9246,Aaron Johnson,,Ricardo Bastos,W,1,Straight ankle lock,NY Summer Open,94KG,F,2015
8857,9246,Aaron Johnson,,Joseph Cashin,W,1,Points,Grappling Ind.,ABS,SF,2016
8858,9246,Aaron Johnson,6550,Gordon Ryan,W,1,Points,Grappling Ind.,ABS,F,2016
9109,9246,Aaron Johnson,,Wellington Peroto,W,1,Straight ankle lock,UAEJJF NYC Pro,94KG,4F,2016
9499,9246,Aaron Johnson,,Lincoln Pereira,W,1,Choke from back,Boston Spring O.,100KG,SF,2016
10074,9246,Aaron Johnson,,Choi Choi,W,1,"Pts: 0x0, Adv",World Champ.,ABS,R1,2016
10678,9246,Aaron Johnson,,Leo Davila,W,1,Straight ankle lock,NoGi Pan Ams,O97KG,F,2016
10681,9246,Aaron Johnson,,Samir Abdolkader,W,1,Flying armbar,NoGi Pan Ams,ABS,4F,2016
10943,9246,Aaron Johnson,7639,Eliot Marshall,W,1,Toe hold,NoGi Worlds,O97KG,4F,2016
11940,9246,Aaron Johnson,,Shaun Dufree,W,1,Toe hold,UAEJJF NY Pro,110KG,SF,2017
12000,9246,Aaron Johnson,,William Nyman,W,1,Submission,LA National Pro,U110KG,SF,2017
12399,9246,Aaron Johnson,,Daniel Richards,W,1,Points,NY Spring Open,O100KG,SF,2017
12400,9246,Aaron Johnson,,Christian Simmerling,W,1,Points,NY Spring Open,O100KG,F,2017
12414,9246,Aaron Johnson,,Joao Paulo,W,1,Points,NY Spring No-Gi,ABS,SF,2017
13182,9246,Aaron Johnson,,Josh Bowlin,W,1,Pts: 7x6,World Champ.,94KG,R1,2017
13240,9246,Aaron Johnson,,Kaliffa Oliviera,W,1,Referee Decision,F2W 36,94KG,SPF,2017
13550,9246,Aaron Johnson,,Kory Acchione,W,1,Referee Decision,F2W 43,N/A,SPF,2017
13984,9246,Aaron Johnson,,Leo Davilla,W,1,Armbar,Atlanta SM NGO,97KG,F,2017
13985,9246,Aaron Johnson,,Taniel Santos,W,1,Straight ankle lock,Atlanta SM NGO,ABS,F,2017
14025,9246,Aaron Johnson,,Oleksandr Karliychuk,W,1,Straight ankle lock,No Gi Pan Am.,O97KG,SF,2017
14027,9246,Aaron Johnson,8729,Matt Leighton,W,1,Referee Decision,No Gi Pan Am.,O97KG,F,2017
14544,9246,Aaron Johnson,,Matt Kirchwhem,W,1,EBI/OT,EBI 14,ABS,R1,2017
14549,9246,Aaron Johnson,,A. Kimler,W,1,Armbar,EBI 14,ABS,4F,2017
14712,9246,Aaron Johnson,7502,Paul Ardila,W,1,Pts: 4x0,NoGi Worlds,97KG,4F,2017
14987,9246,Aaron Johnson,,Vitor Schlosser,W,1,Choke from back,US National Pro,110KG,3RD,2018
15059,9246,Aaron Johnson,,Gilvan Costa,W,1,Straight ankle lock,Atlanta W. Open,94KG,SF,2018
15060,9246,Aaron Johnson,7743,Inacio Neto,W,1,Kneebar,Atlanta W. Open,94KG,F,2018
15217,9246,Aaron Johnson,,Kenneth Brown,W,1,Pts: 4x2,Continental Pro,110KG,RR,2018
15309,9246,Aaron Johnson,,Frisco DeLeon,W,1,Adv,Marianas EP,O85KG,SF,2018
15346,9246,Aaron Johnson,5930,Rodrigo Freitas,W,1,Calf slicer,Pan American,ABS,R1,2018
15354,9246,Aaron Johnson,6156,Tanner Rice,W,1,Kneebar,Pan American,ABS,R2,2018
15435,9246,Aaron Johnson,,Wellington Peroto,W,1,Straight ankle lock,Pan American,94KG,8F,2018
15972,9246,Aaron Johnson,,Thiago Jiuliani,W,1,Points,NY Spring Open,100KG,SF,2018
15973,9246,Aaron Johnson,,Nicholas Penzer,W,1,Straight ankle lock,NY Spring Open,100KG,F,2018
17454,9246,Aaron Johnson,,Roberto Torralbas,W,1,Pts: 2x0,No Gi Pan Am.,97KG,SF,2018
17455,9246,Aaron Johnson,3200,Jackson Sousa,W,1,Footlock,No Gi Pan Am.,97KG,F,2018
18047,9246,Aaron Johnson,5324,Tom deBlass,W,1,Referee Decision,F2W 91,ABS,SPF,2018
18156,9246,Aaron Johnson,,Riley Mccormick,W,1,Reverse triangle,ADCC EC Trials,O99KG,R1,2018
18158,9246,Aaron Johnson,,JeQuan Williamson,W,1,Triangle armbar,ADCC EC Trials,O99KG,4F,2018
18159,9246,Aaron Johnson,,Andrew Tevay,W,1,Kneebar,ADCC EC Trials,O99KG,SF,2018
18162,9246,Aaron Johnson,,Hudson Taylor,W,1,Kneebar,ADCC EC Trials,O99KG,F,2018
18414,9246,Aaron Johnson,,Kevin Gallager,W,1,Points,Gamblers Inv.,ABS,SPF,2018
