match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
1579,926,Roberto Alencar,,Rick Macauley,L,0,Heel hook,GQ All Star Pro,90KG,SF,2007
1764,926,Roberto Alencar,84,Alexandre Ribeiro,L,0,Ezekiel,World Champ.,94KG,F,2007
1794,926,Roberto Alencar,562,Eduardo Telles,L,0,Points,NoGi Pan Am.,100KG,4F,2007
1881,926,Roberto Alencar,576,Rafael Lovato,L,0,Adv,Pan American,94KG,F,2008
1961,926,Roberto Alencar,449,Alexandre Souza,L,0,Points,World Champ.,94KG,SF,2008
2222,926,Roberto Alencar,637,Bruno Bastos,L,0,Armbar,ADCC Trials,88KG,4F,2009
2571,926,Roberto Alencar,387,Braga Neto,L,0,Choke from back,Pan American,100KG,SF,2010
2587,926,Roberto Alencar,911,Antonio Peinado,L,0,Choke,Pan American,ABS,4F,2010
2618,926,Roberto Alencar,576,Rafael Lovato,L,0,Referee Decision,No Gi Worlds,94KG,F,2010
2628,926,Roberto Alencar,875,Lucas Leite,L,0,Points,No Gi Worlds,ABS,8F,2010
2725,926,Roberto Alencar,331,Ricardo Abreu,L,0,Choke,World Champ.,100KG,SF,2010
2893,926,Roberto Alencar,425,Bernardo Faria,L,0,Armbar,Pan American,94KG,SF,2011
2986,926,Roberto Alencar,387,Braga Neto,L,0,Referee Decision,World Champ.,ABS,R2,2011
3122,926,Roberto Alencar,1236,Antonio Carlos,L,0,Pts: 4x2,World Champ.,94KG,4F,2011
3387,926,Roberto Alencar,875,Lucas Leite,L,0,Adv,No Gi Worlds,94KG,F,2011
3518,926,Roberto Alencar,247,Rodolfo Vieira,L,0,Arm in Ezekiel,European Open,94KG,F,2012
3525,926,Roberto Alencar,425,Bernardo Faria,L,0,Omoplata,European Open,ABS,4F,2012
3812,926,Roberto Alencar,247,Rodolfo Vieira,L,0,Armbar,World Pro.,94KG,F,2012
3907,926,Roberto Alencar,984,Marcus Almeida,L,0,Flying Triangle,World Champ.,ABS,R2,2012
4110,926,Roberto Alencar,84,Alexandre Ribeiro,L,0,Flying Armbar,World Champ.,94KG,SF,2012
4272,926,Roberto Alencar,2226,DJ Jackson,L,0,Pts: 4x0,NoGi Worlds,ABS,8F,2012
4494,926,Roberto Alencar,,K. Cornelius,L,0,Points,NYC World Trials,92KG,F,2013
