match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
9130,9344,Paul Schreiner,6550,Gordon Ryan,L,0,Kneebar,Sapateiro Inv.,ABS,SF,2016
14231,9344,Paul Schreiner,8394,Vagner Rocha,L,0,EBI/OT,EBI 13,70KG,4F,2017
17240,9344,Paul Schreiner,7539,Renato Canuto,L,0,Pts: 1x0,Kasai Pro 3,77KG,RR,2018
17247,9344,Paul Schreiner,10759,Jason Rau,L,0,Pts: 10x3,Kasai Pro 3,77KG,RR,2018
17736,9344,Paul Schreiner,1322,Gregor Gracie,L,0,Kneebar,Quintet 3,ABS,SF,2018
21760,9344,Paul Schreiner,9637,Sergio Rios,L,0,Armbar,F2W 126,79KG,SPF,2019
23516,9344,Paul Schreiner,11707,Oliver Taza,L,0,Inside heel hook,BJJ Fanatics GP,77KG,4F,2020
23916,9344,Paul Schreiner,11223,Ethan Crelinsten,L,0,EBI/OT,SUG 17,ABS,SPF,2020
25171,9344,Paul Schreiner,11808,Andrew Wiltse,L,0,Referee Decision,WNO 6,84KG,SPF,2021
25964,9344,Paul Schreiner,11735,Nicky Ryan,L,0,Referee Decision,WNO 8,83KG,SPF,2021
26128,9344,Paul Schreiner,,Josh Bacallao,L,0,Pts: 2x0,NoGi Pan Am.,79KG,8F,2021
28285,9344,Paul Schreiner,8116,Dante Leon,L,0,"Pts: 2x2, Adv",NoGi Worlds,79KG,4F,2021
28869,9344,Paul Schreiner,12005,Kade Ruotolo,L,0,Pts: 2x0,ADCC EC Trials,77KG,SF,2021
28872,9344,Paul Schreiner,11049,Kody Steele,L,0,Referee Decision,ADCC EC Trials,77KG,3RD,2021
31463,9344,Paul Schreiner,12703,Andy Varela,L,0,Referee Decision,ADCC WC Trials,77KG,SF,2022
33522,9344,Paul Schreiner,11797,Giancarlo Bodoni,D,0.5,---,UFC Inv. 2,ABS,RR,2022
35029,9344,Paul Schreiner,12005,Kade Ruotolo,L,0,Armbar,ADCC,77KG,SF,2022
35031,9344,Paul Schreiner,8116,Dante Leon,L,0,Armbar,ADCC,77KG,3RD,2022
