match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
7811,9377,Alexis Alduncin,,Russ Miura,L,0,Heel hook,EBI 4,65KG,R1,2015
10323,9377,Alexis Alduncin,2997,Joao Miyao,L,0,Pts: 13x0,Austin Open,70KG,SF,2016
10336,9377,Alexis Alduncin,2997,Joao Miyao,L,0,Pts: 6x2,Austin NG Open,67KG,SF,2016
10435,9377,Alexis Alduncin,2997,Joao Miyao,L,0,Pts: 5x0,Grand Slam LA,62KG,SF,2016
11267,9377,Alexis Alduncin,7442,Eddie Cummings,L,0,Inside heel hook,EBI 10,61KG,4F,2016
11403,9377,Alexis Alduncin,4655,Michael Liera,L,0,Cross Choke,FIVE California,ABS,SF,2017
12120,9377,Alexis Alduncin,1436,Samir Chantre,L,0,Pts: 11x0,Pan American,64KG,R1,2017
12470,9377,Alexis Alduncin,,Nick Ryan,L,0,Outside heel hook,ADCC WC Trials,66KG,4F,2017
12627,9377,Alexis Alduncin,7657,Cleber Sousa,L,0,Pts: 5x0,World Pro,62KG,RR,2017
12628,9377,Alexis Alduncin,5447,Mikey Musumeci,L,0,Points,World Pro,62KG,RR,2017
12924,9377,Alexis Alduncin,2997,Joao Miyao,L,0,Points,Miami SPO,64KG,SF,2017
13621,9377,Alexis Alduncin,2997,Joao Miyao,L,0,Pts: 31x0,Chicago SMO,64KG,F,2017
13644,9377,Alexis Alduncin,2997,Joao Miyao,L,0,Points,Chicago SMNGO,61KG,F,2017
13719,9377,Alexis Alduncin,938,Pablo Silva,L,0,Points,Mexico City Open,64KG,F,2017
13788,9377,Alexis Alduncin,2997,Joao Miyao,L,0,Choke from back,Grand Slam LA,62KG,SF,2017
15066,9377,Alexis Alduncin,6836,John Combs,L,0,Botinha,Mexico Pro,77KG,SF,2018
15476,9377,Alexis Alduncin,8305,Pedro Dias,L,0,Pts: 2x0,Grand Slam LDN,62KG,4F,2018
15481,9377,Alexis Alduncin,,Wellington Lima,L,0,"Pts: 0x0, Adv",Grand Slam LDN,62KG,RPC,2018
16124,9377,Alexis Alduncin,8842,Wanki Chae,L,0,"Pts: 0x0, Adv",World Pro,62KG,SF,2018
