match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
11987,9385,Brandon Walensky,6103,Isaac Doederlein,L,0,Choke from back,LA National Pro,69KG,F,2017
11997,9385,Brandon Walensky,6103,Isaac Doederlein,L,0,Points,LA National Pro,U77KG,SF,2017
12135,9385,Brandon Walensky,147,Rubens Charles,L,0,Points,Pan American,70KG,8F,2017
12471,9385,Brandon Walensky,,Ricky Lule,L,0,Pts: 2x0,ADCC WC Trials,66KG,4F,2017
13444,9385,Brandon Walensky,8231,Leo Saggioro,L,0,Cachecol choke,FIVE Super League,70KG,4F,2017
13514,9385,Brandon Walensky,,Joe Scovel,L,0,Points,San Jose Open,70KG,F,2017
13796,9385,Brandon Walensky,6366,Brian Mahecha,L,0,Pts: 2x0,Grand Slam LA,69KG,SF,2017
13799,9385,Brandon Walensky,8525,Alexandre Vieira,L,0,Crucifix choke,Grand Slam LA,69KG,RR,2017
14193,9385,Brandon Walensky,9064,Silvio Duran,L,0,Pts: 6x2,Miami FO,70KG,SF,2017
14228,9385,Brandon Walensky,,Nathan Orchard,L,0,EBI/OT,EBI 13,70KG,R1,2017
14504,9385,Brandon Walensky,,Marvin Castelle,L,0,Inside heel hook,F2W 56,70KG,SPF,2017
14656,9385,Brandon Walensky,4248,Gianni Grippo,L,0,Short choke,NoGi Worlds,67KG,R1,2017
15381,9385,Brandon Walensky,5414,Osvaldo Moizinho,L,0,Pts: 6x2,Pan American,70KG,8F,2018
15989,9385,Brandon Walensky,8632,Thiago Macedo,L,0,Pts: 7x0,Denver Open,70KG,F,2018
16326,9385,Brandon Walensky,8069,Pablo Mantovani,L,0,Pts: 10x0,San Diego Open,70KG,SF,2018
16475,9385,Brandon Walensky,6599,Rafael Mansur,L,0,Pts: 2x0,World Champ.,70KG,R2,2018
18454,9385,Brandon Walensky,8814,Adam Benayoun,L,0,Points,Denver Open,70KG,F,2018
18591,9385,Brandon Walensky,7698,Gabriel Marangoni,L,0,Pts: 12x0,NoGi Worlds,67KG,R2,2018
19578,9385,Brandon Walensky,7002,Jamil Hill-Taylor,L,0,Armbar,Pan American,70KG,8F,2019
20443,9385,Brandon Walensky,9031,Kennedy Maciel,L,0,Choke,San Diego Open,70KG,4F,2019
20516,9385,Brandon Walensky,9934,Deandre Corbe,L,0,Points,Chicago SPO,70KG,SF,2019
22387,9385,Brandon Walensky,10408,Israel Sousa,L,0,Armbar,Long Beach Open,70KG,F,2019
24132,9385,Brandon Walensky,,Giovanni Carvalho,L,0,Pts: 6x4,Pan American,70KG,R1,2020
11985,9385,Brandon Walensky,,Ronald Henderson,W,1,Crucifix Choke,LA National Pro,69KG,SF,2017
12129,9385,Brandon Walensky,,Juan Gomez,W,1,Armlock,Pan American,70KG,R1,2017
12456,9385,Brandon Walensky,,Eric Medina,W,1,Darce choke,ADCC WC Trials,66KG,RS,2017
12458,9385,Brandon Walensky,,Chris Hans,W,1,Triangle,ADCC WC Trials,66KG,RS,2017
12465,9385,Brandon Walensky,,Ben Eddy,W,1,Triangle,ADCC WC Trials,66KG,8F,2017
13513,9385,Brandon Walensky,,Manny Moreno,W,1,Bow and arrow,San Jose Open,70KG,SF,2017
13720,9385,Brandon Walensky,,Carlos Quintero,W,1,Bow and arrow,Mexico City Open,70KG,F,2017
13731,9385,Brandon Walensky,,Carlos Quintero,W,1,Triangle,Mexico NG Open,67KG,F,2017
13793,9385,Brandon Walensky,,Felipe Simplicio,W,1,Triangle,Grand Slam LA,69KG,4F,2017
14192,9385,Brandon Walensky,6366,Brian Mahecha,W,1,Armbar,Miami FO,70KG,4F,2017
15986,9385,Brandon Walensky,,N/A,W,1,Loop choke,Denver Open,70KG,SF,2018
15987,9385,Brandon Walensky,,Bruno Valdivino,W,1,Triangle,Denver Open,70KG,SF,2018
16323,9385,Brandon Walensky,,Rene Lopez,W,1,Bow and arrow,San Diego Open,70KG,4F,2018
16469,9385,Brandon Walensky,8351,Joao Neto,W,1,Pts: 2x0,World Champ.,70KG,R1,2018
18163,9385,Brandon Walensky,,B. Penado,W,1,RNC,Fighting Ind.,66KG,RR,2018
18164,9385,Brandon Walensky,,Junior Andrade,W,1,RNC,Fighting Ind.,66KG,RR,2018
18165,9385,Brandon Walensky,,Cristobal Chavez,W,1,Toe hold,Fighting Ind.,66KG,RR,2018
18166,9385,Brandon Walensky,,Alessandro Costa,W,1,Toe hold,Fighting Ind.,66KG,RR,2018
18453,9385,Brandon Walensky,,Jonathan Buren,W,1,Points,Denver Open,70KG,SF,2018
18582,9385,Brandon Walensky,9760,Frank Rosenthal,W,1,Pts: 4x2,NoGi Worlds,67KG,R1,2018
19569,9385,Brandon Walensky,,Orlando Fernando,W,1,Triangle armbar,Pan American,70KG,R1,2019
20515,9385,Brandon Walensky,,Max DeBeen,W,1,Armbar,Chicago SPO,70KG,4F,2019
21935,9385,Brandon Walensky,,Joao Figueiredo,W,1,Points,Phoenix Open,70KG,F,2019
22383,9385,Brandon Walensky,,Aubrey Koenig,W,1,Reverse triangle,Long Beach Open,70KG,4F,2019
22385,9385,Brandon Walensky,,Takahito Yoshioka,W,1,Triangle,Long Beach Open,70KG,SF,2019
23485,9385,Brandon Walensky,,Chris Jones,W,1,Choke,San Jose Open,70KG,SF,2020
23486,9385,Brandon Walensky,,Rodrigo Cardoso,W,1,Choke from back,San Jose Open,70KG,F,2020
