match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
17271,9440,Jeremy Jackson,7664,Johnny Tama,L,0,Referee Decision,Las Vegas Open,76KG,SF,2018
18172,9440,Jeremy Jackson,4163,Marcio Andre,L,0,Pts: 4x2,Long Beach Open,76KG,SF,2018
18628,9440,Jeremy Jackson,8116,Dante Leon,L,0,Guillotine,NoGi Worlds,79KG,R1,2018
18890,9440,Jeremy Jackson,7645,Masahiro Iwasaki,L,0,Pts: 3x0,European Open,70KG,F,2019
19339,9440,Jeremy Jackson,6563,Francisco Iturralde,L,0,Darce choke,Portland Open,76KG,SF,2019
19349,9440,Jeremy Jackson,10468,Nisar Loynab,L,0,Points,Portland Open,ABS,SF,2019
19596,9440,Jeremy Jackson,5414,Osvaldo Moizinho,L,0,"Pts: 4x4, Adv",Pan American,76KG,8F,2019
19990,9440,Jeremy Jackson,9876,Alef Brito,L,0,Points,San Jose Open,76KG,F,2019
20018,9440,Jeremy Jackson,9253,Michael Trasso,L,0,Points,San Jose NGO,79KG,SF,2019
20276,9440,Jeremy Jackson,9121,Ygor Rodrigues,L,0,Points,Brasileiro,76KG,R3,2019
20609,9440,Jeremy Jackson,6836,John Combs,L,0,Pts: 6x4,World Champ.,76KG,R1,2019
21265,9440,Jeremy Jackson,7872,Gilson Nunes,L,0,Pts: 4x2,Seattle Open,76KG,RR,2019
21267,9440,Jeremy Jackson,,Esdras Bezerra,L,0,Points,Seattle Open,ABS,4F,2019
21429,9440,Jeremy Jackson,,Dainis Nguyen,L,0,Points,Las Vegas Open,76KG,4F,2019
21673,9440,Jeremy Jackson,10085,Johnatha Alves,L,0,Pts: 4x0,Grand Slam LA,77KG,R1,2019
23099,9440,Jeremy Jackson,11044,Pedro Veras,L,0,Referee Decision,European Open,76KG,4F,2020
23488,9440,Jeremy Jackson,5930,Rodrigo Freitas,L,0,RNC,San Jose Open,76KG,F,2020
23504,9440,Jeremy Jackson,10468,Nisar Loynab,L,0,Pts: 2x0,San Jose Open,ABS,F,2020
23709,9440,Jeremy Jackson,10352,Leo Silva,L,0,Pts: 4x0,Copa Podio,76KG,RR,2020
23712,9440,Jeremy Jackson,,Kanan Clarke,L,0,Pts: 2x0,Copa Podio,76KG,RR,2020
17521,9440,Jeremy Jackson,,Khristopher Gonzales,W,1,Pts: 27x0,Atlanta SMO,76KG,4F,2018
17522,9440,Jeremy Jackson,8112,Matheus Costa,W,1,Footlock,Atlanta SMO,76KG,SF,2018
17524,9440,Jeremy Jackson,,Joshua Bacallao,W,1,Pts: 7x0,Atlanta SMO,76KG,F,2018
17868,9440,Jeremy Jackson,,K. Gonzales,W,1,Pts: 45x0,Twin Cities Open,76KG,SF,2018
17869,9440,Jeremy Jackson,12338,Gialysson Freitas,W,1,Pts: 4x2,Twin Cities Open,76KG,F,2018
19337,9440,Jeremy Jackson,,Hayden Nicholas,W,1,Choke from back,Portland Open,76KG,4F,2019
19499,9440,Jeremy Jackson,,Aaron Brooks,W,1,Kimura,Cincinnati Open,76KG,4F,2019
19501,9440,Jeremy Jackson,,Felipe Simplicio,W,1,Choke from back,Cincinnati Open,76KG,SF,2019
19503,9440,Jeremy Jackson,9064,Silvio Duran,W,1,Choke from back,Cincinnati Open,76KG,F,2019
19588,9440,Jeremy Jackson,,Felipe Simplicio,W,1,Choke from back,Pan American,76KG,R1,2019
19986,9440,Jeremy Jackson,,Roniel Costa,W,1,Mounted X choke,San Jose Open,76KG,4F,2019
19989,9440,Jeremy Jackson,,Thiago Rodrigues,W,1,Choke from back,San Jose Open,76KG,SF,2019
20273,9440,Jeremy Jackson,,Erick Fernandes,W,1,Choke from back,Brasileiro,76KG,R2,2019
21264,9440,Jeremy Jackson,,Rene Arango,W,1,Botinha,Seattle Open,76KG,RR,2019
21428,9440,Jeremy Jackson,,Mathew Kwan,W,1,Points,Las Vegas Open,76KG,4F,2019
21974,9440,Jeremy Jackson,,Alexander Yblong,W,1,Pts: 15x0,Sal Lake Open,82KG,SF,2019
21975,9440,Jeremy Jackson,,Thiago Lemos,W,1,Pts: 6x4,Sal Lake Open,82KG,F,2019
21976,9440,Jeremy Jackson,,Alexander Yblong,W,1,Footlock,Sal Lake Open,ABS,4F,2019
21977,9440,Jeremy Jackson,,Jose Reginaldo,W,1,Choke from back,Sal Lake Open,ABS,SF,2019
21983,9440,Jeremy Jackson,,Gino Farrazano,W,1,Armbar,Atlanta SM Open,76KG,SF,2019
21984,9440,Jeremy Jackson,,Dylan White,W,1,Toe hold,Atlanta SM Open,76KG,F,2019
23091,9440,Jeremy Jackson,,Bruno Borges,W,1,Pts: 2x0,European Open,76KG,R1,2020
23487,9440,Jeremy Jackson,,Connor Donaldson,W,1,Pts: 10x8,San Jose Open,76KG,SF,2020
23501,9440,Jeremy Jackson,,Hector Beltran,W,1,Pts: 2x0,San Jose Open,ABS,4F,2020
23503,9440,Jeremy Jackson,,Nathan Barreto,W,1,Pts: 10x0,San Jose Open,ABS,SF,2020
23506,9440,Jeremy Jackson,,Connor Donaldson,W,1,Short choke,San Jose NGO,79KG,F,2020
23711,9440,Jeremy Jackson,6563,Francisco Iturralde,W,1,"Pts: 4x4, Pen",Copa Podio,76KG,RR,2020
