match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
12888,9465,Endres Barbosa Mendes,1014,Jake Mackenzie,L,0,Points,Salvador Spring O.,76KG,F,2017
16461,9465,Endres Barbosa Mendes,6103,Isaac Doederlein,L,0,Straight ankle lock,World Champ.,70KG,R1,2018
19597,9465,Endres Barbosa Mendes,5061,Gabriel Rollo,L,0,Injury,Pan American,76KG,8F,2019
20387,9465,Endres Barbosa Mendes,8516,Lucas Valente,L,0,Estima lock,Dallas SPO,76KG,SF,2019
20499,9465,Endres Barbosa Mendes,9150,Cole Franson,L,0,Points,Denver Open,76KG,SF,2019
12887,9465,Endres Barbosa Mendes,,Victor Matos,W,1,Points,Salvador Spring O.,76KG,SF,2017
15748,9465,Endres Barbosa Mendes,,Miguel Silva,W,1,Choke from back,San Jose Open,94KG,SF,2018
15753,9465,Endres Barbosa Mendes,,Nichollas Greene,W,1,Points,San Jose Open,ABS,R1,2018
17220,9465,Endres Barbosa Mendes,,Eronildes Neto,W,1,Botinha,Joao Pessoa Pro,77KG,SF,2018
17221,9465,Endres Barbosa Mendes,,Filipe Neto,W,1,Choke from back,Joao Pessoa Pro,77KG,F,2018
17224,9465,Endres Barbosa Mendes,,Eronildes Neto,W,1,Toe hold,Joao Pessoa Pro,ABS,4F,2018
17226,9465,Endres Barbosa Mendes,8525,Alexandre Vieira,W,1,Referee Decision,Joao Pessoa Pro,ABS,SF,2018
17227,9465,Endres Barbosa Mendes,,Henrique Gomes,W,1,Reverse triangle,Joao Pessoa Pro,ABS,F,2018
17681,9465,Endres Barbosa Mendes,,Lucas Barros,W,1,Botinha,Brasileiro NoGi,73KG,R1,2018
17686,9465,Endres Barbosa Mendes,,Edward Hohl,W,1,RNC,Brasileiro NoGi,73KG,8F,2018
17687,9465,Endres Barbosa Mendes,,Djalma Santana,W,1,Adv,Brasileiro NoGi,73KG,4F,2018
17691,9465,Endres Barbosa Mendes,260,Ary Farias,W,1,"Pts: 0x0, Adv",Brasileiro NoGi,73KG,SF,2018
18480,9465,Endres Barbosa Mendes,,Paulo Augusto,W,1,Choke from back,Brasilia Open,76KG,4F,2018
18484,9465,Endres Barbosa Mendes,8647,Igor Verissimo,W,1,Kneebar,Brasilia Open,76KG,SF,2018
18485,9465,Endres Barbosa Mendes,,Yuri Abreu,W,1,Pts: 10x0,Brasilia Open,76KG,F,2018
19587,9465,Endres Barbosa Mendes,9121,Ygor Rodrigues,W,1,Pts: 8x4,Pan American,76KG,R1,2019
22564,9465,Endres Barbosa Mendes,10216,Natan Chueng,W,1,Toe hold,South American,76KG,R1,2019
22569,9465,Endres Barbosa Mendes,,Lincon Silva,W,1,Triangle armbar,South American,76KG,4F,2019
22572,9465,Endres Barbosa Mendes,,Ricardo Rocha,W,1,Botinha,South American,76KG,SF,2019
22573,9465,Endres Barbosa Mendes,9876,Alef Brito,W,1,Choke from back,South American,76KG,F,2019
