match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
19711,9486,Murilo Amaral,,Luciano Bernert,L,0,DQ,Floripa Fall Open,76KG,SF,2019
20035,9486,Murilo Amaral,2999,Paulo Miyao,L,0,Pts: 2x0,WP BR Qualifier,69KG,SF,2019
20588,9486,Murilo Amaral,8632,Thiago Macedo,L,0,Pts: 2x0,World Champ.,70KG,R1,2019
22278,9486,Murilo Amaral,6103,Isaac Doederlein,L,0,Choke from back,Grand Slam RJ,69KG,R2,2019
24676,9486,Murilo Amaral,10408,Israel Sousa,L,0,Pts: 4x2,Grand Slam RJ,69KG,R1,2020
26377,9486,Murilo Amaral,11497,Fabricio Andrey,L,0,Pts: 10x4,SA Cont. Pro,69KG,F,2021
26509,9486,Murilo Amaral,11658,Lucas Gualberto,L,0,Pts: 3x2,SA Cont. Pro,LWA,4F,2021
27084,9486,Murilo Amaral,11423,Meyram Maquine,L,0,Choke from back,BJJ Bet,76KG,SPF,2021
28535,9486,Murilo Amaral,11872,Luiz Paulo,L,0,Pts: 4x4,Grand Slam RJ,77KG,SF,2021
28538,9486,Murilo Amaral,11658,Lucas Gualberto,L,0,Pts: 1x0,Grand Slam RJ,77KG,RPC,2021
29508,9486,Murilo Amaral,7539,Renato Canuto,L,0,Pts: 2x0,World Champ.,76KG,SF,2021
35856,9486,Murilo Amaral,10644,Marcelo Gomide,L,0,Adv,Pan Pacific,ABS,SF,2022
37510,9486,Murilo Amaral,9014,Levi Jones,L,0,Pts: 2x1,Grand Slam SYD,77KG,SF,2023
37546,9486,Murilo Amaral,10644,Marcelo Gomide,L,0,Adv,NSW State,ABS,SF,2023
40274,9486,Murilo Amaral,12287,Pedro Maia,L,0,Pts: 3x0,World Champ.,76KG,SF,2023
41619,9486,Murilo Amaral,10103,Jonnatas Gracie,L,0,Points,Tough Roll,82KG,SF,2023
18353,9486,Murilo Amaral,,Luiz Cruz,W,1,Armbar,South American,70KG,4F,2018
18355,9486,Murilo Amaral,,Antonio Felix,W,1,Points,South American,70KG,SF,2018
18357,9486,Murilo Amaral,,Rafael Silva,W,1,Choke from back,South American,70KG,F,2018
18738,9486,Murilo Amaral,,Gabriel Machado,W,1,Points,Porto Alegre Open,70KG,SF,2018
18740,9486,Murilo Amaral,,Osmar Telles,W,1,Armbar,Porto Alegre Open,70KG,F,2018
19706,9486,Murilo Amaral,,Rafael Castro,W,1,Armbar,Floripa Fall Open,76KG,R1,2019
19916,9486,Murilo Amaral,,Osmar Telles,W,1,N/A,Curitiba Pro,70KG,4F,2019
20034,9486,Murilo Amaral,,Mario Silva,W,1,Armbar,WP BR Qualifier,69KG,4F,2019
22271,9486,Murilo Amaral,,Lucas Galbusera,W,1,Referee Decision,Grand Slam RJ,69KG,R1,2019
22739,9486,Murilo Amaral,,Gabriel Fonseca,W,1,Triangle,Porto Alegre Open,70KG,SF,2019
22741,9486,Murilo Amaral,8536,Yuta Shimada,W,1,Choke from back,Porto Alegre Open,70KG,F,2019
23589,9486,Murilo Amaral,,Robson Maia,W,1,Pts: 10x12,South American Pro,69KG,RR,2020
23590,9486,Murilo Amaral,,Daniel Fagundes,W,1,Choke,South American Pro,69KG,RR,2020
26363,9486,Murilo Amaral,,Leo Domingos,W,1,Pts: 1x0,SA Cont. Pro,69KG,R1,2021
