match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
16845,9515,Seif-Eddine Houmine,8974,Kaynan Duarte,L,0,Pts: 4x2,ACBJJ World,ABS,4F,2018
17127,9515,Seif-Eddine Houmine,9637,Sergio Rios,L,0,Pts: 2x0,ACBJJ NG Poland,ABS,4F,2018
17143,9515,Seif-Eddine Houmine,10318,Eldar Rafigaev,L,0,Footlock,ACBJJ Poland,O95KG,F,2018
17149,9515,Seif-Eddine Houmine,9637,Sergio Rios,L,0,Pts: 2x0,ACBJJ Poland,ABS,F,2018
18942,9515,Seif-Eddine Houmine,5509,Victor Honorio,L,0,Pts: 7x0,European Open,O100KG,SF,2019
18958,9515,Seif-Eddine Houmine,358,Lucas Lepri,L,0,Bow and arrow,European Open,ABS,4F,2019
21061,9515,Seif-Eddine Houmine,1534,R. Evangelista,L,0,Submission,ACB World Champ.,O95KG,SF,2019
22231,9515,Seif-Eddine Houmine,,Abdeldjalil Annabi,L,0,Pts: 12x2,GIC Challenge,ABS,F,2019
23045,9515,Seif-Eddine Houmine,5447,Mikey Musumeci,L,0,"Pts: 0x0, Adv",European Open,ABS,R2,2020
23152,9515,Seif-Eddine Houmine,6631,Igor Schneider,L,0,Pts: 5x0,European Open,O100KG,F,2020
32310,9515,Seif-Eddine Houmine,,Francis Prana,L,0,Pts: 2x0,ADCC EU Trials,O99KG,4F,2022
33009,9515,Seif-Eddine Houmine,,Renato Tagliari,L,0,"Pts: 2x2, Adv",World Champ.,O100KG,8F,2022
33030,9515,Seif-Eddine Houmine,7507,Nicholas Meregali,L,0,Loop choke,World Champ.,ABS,8F,2022
37149,9515,Seif-Eddine Houmine,11064,Rider Zuchi,L,0,Pts: 2x0,European Open,ABS,4F,2023
37258,9515,Seif-Eddine Houmine,11789,Mason Fowler,L,0,Pts: 4x3,European Open,O100KG,SF,2023
14814,9515,Seif-Eddine Houmine,,Yanal Shahzdeh,W,1,Choke,JJIF Worlds,O94KG,R1,2018
14815,9515,Seif-Eddine Houmine,,M. Makhmakhanov,W,1,Choke,JJIF Worlds,O94KG,R2,2018
14816,9515,Seif-Eddine Houmine,,Kosa Peter,W,1,Pts: 7x2,JJIF Worlds,O94KG,3F,2018
14817,9515,Seif-Eddine Houmine,,Kamil Moldovea,W,1,Pts: 2x0,JJIF Worlds,O94KG,F,2018
15576,9515,Seif-Eddine Houmine,,Bruno Nahas,W,1,Pts: 3x0,ACBJJ Poland,O95KG,4F,2018
15578,9515,Seif-Eddine Houmine,,Leo Goncalves,W,1,Choke,ACBJJ Poland,O95KG,SF,2018
15580,9515,Seif-Eddine Houmine,9230,Matheus Felipe,W,1,Referee Decision,ACBJJ Poland,O95KG,F,2018
16839,9515,Seif-Eddine Houmine,8762,Rodrigo Ribeiro,W,1,Choke,ACBJJ World,O95KG,SF,2018
16841,9515,Seif-Eddine Houmine,6631,Igor Schneider,W,1,Choke,ACBJJ World,O95KG,F,2018
17125,9515,Seif-Eddine Houmine,868,B. Matias,W,1,Referee Decision,ACBJJ NG Poland,O95KG,RR,2018
17126,9515,Seif-Eddine Houmine,10318,Eldar Rafigaev,W,1,Pts: 5x0,ACBJJ NG Poland,O95KG,F,2018
17142,9515,Seif-Eddine Houmine,,Lukasz Chudzik,W,1,Pts: 4x2,ACBJJ Poland,O95KG,SF,2018
17144,9515,Seif-Eddine Houmine,9051,Gabriel Sousa,W,1,Choke,ACBJJ Poland,ABS,R1,2018
17147,9515,Seif-Eddine Houmine,,Antonio Junior,W,1,Pts: 3x0,ACBJJ Poland,ABS,4F,2018
17352,9515,Seif-Eddine Houmine,537,Thiago Borges,W,1,Choke,Amsterdam Open,O100KG,SF,2018
17353,9515,Seif-Eddine Houmine,,Jamie Hughes,W,1,Choke,Amsterdam Open,O100KG,F,2018
18404,9515,Seif-Eddine Houmine,,Martin Gobel,W,1,Choke,Berlin Open,O100KG,F,2018
18405,9515,Seif-Eddine Houmine,10004,Ali Monfaradi,W,1,Choke,Berlin Open,ABS,SF,2018
18406,9515,Seif-Eddine Houmine,,Vegard Randeberg,W,1,Choke,Berlin Open,ABS,F,2018
18941,9515,Seif-Eddine Houmine,6631,Igor Schneider,W,1,Choke,European Open,O100KG,4F,2019
18946,9515,Seif-Eddine Houmine,9741,Pedro Elias,W,1,Shoulder pressure,European Open,ABS,R1,2019
18952,9515,Seif-Eddine Houmine,,Otavio Nalati,W,1,Pts: 7x0,European Open,ABS,R2,2019
21059,9515,Seif-Eddine Houmine,,Kornel Zapadka,W,1,Choke,ACB World Champ.,O95KG,4F,2019
22229,9515,Seif-Eddine Houmine,,William Tchapnda,W,1,Pts: 6x0,GIC Challenge,ABS,4F,2019
22230,9515,Seif-Eddine Houmine,,Akhmed Salamov,W,1,Pts: 6x1,GIC Challenge,ABS,SF,2019
23036,9515,Seif-Eddine Houmine,,Lukqasz Gustaw,W,1,Pressure / Injury,European Open,ABS,R1,2020
23149,9515,Seif-Eddine Houmine,8560,Gabriel Lucas,W,1,Cachecol choke,European Open,O100KG,4F,2020
23150,9515,Seif-Eddine Houmine,5842,Mahamed Aly,W,1,Pts: 3x0,European Open,O100KG,SF,2020
23465,9515,Seif-Eddine Houmine,8560,Gabriel Lucas,W,1,Pts: 5x0,Munich Open,O100KG,SF,2020
23466,9515,Seif-Eddine Houmine,9230,Matheus Felipe,W,1,Referee Decision,Munich Open,O100KG,F,2020
32304,9515,Seif-Eddine Houmine,,Patryk Wysocki,W,1,Pts: 2x0,ADCC EU Trials,O99KG,R1,2022
32305,9515,Seif-Eddine Houmine,,Mark Macqueen,W,1,Points,ADCC EU Trials,O99KG,8F,2022
33022,9515,Seif-Eddine Houmine,,Marlon Tanaka,W,1,Shoulder pressure,World Champ.,ABS,R1,2022
37138,9515,Seif-Eddine Houmine,,Pavel Kavesnik,W,1,Pts: 8x0,European Open,ABS,R1,2023
37141,9515,Seif-Eddine Houmine,,Eric Bergmann,W,1,Cachecol choke,European Open,ABS,R2,2023
37249,9515,Seif-Eddine Houmine,9741,Pedro Elias,W,1,Americana,European Open,O100KG,R1,2023
37254,9515,Seif-Eddine Houmine,11471,Tacio Carneiro,W,1,DQ,European Open,O100KG,4F,2023
