match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
12785,9554,Henrique Cardoso,1895,Rodrigo Fajardo,L,0,Triangle,Brasileiro,88KG,R1,2017
13503,9554,Henrique Cardoso,,Henrique Russi,L,0,Points,Curitiba W. Open,94KG,RR,2017
13504,9554,Henrique Cardoso,4960,Dimitrius Souza,L,0,Points,Curitiba W. Open,94KG,RR,2017
13510,9554,Henrique Cardoso,4960,Dimitrius Souza,L,0,N/A,Curitiba W. Open,ABS,SF,2017
14119,9554,Henrique Cardoso,10698,Matheus Godoy,L,0,Points,Floripa Sp. Open,88KG,R1,2017
14127,9554,Henrique Cardoso,4960,Dimitrius Souza,L,0,Triangle,Floripa Sp. Open,ABS,F,2017
14864,9554,Henrique Cardoso,1534,R. Evangelista,L,0,Wristlock,European Open,ABS,R1,2018
15517,9554,Henrique Cardoso,7552,Isaque Bahiense,L,0,Pts: 2x0,Grand Slam LDN,85KG,SF,2018
17884,9554,Henrique Cardoso,,Samuel Monin,L,0,DQ,Paris Fall Open,94KG,F,2018
18222,9554,Henrique Cardoso,10318,Eldar Rafigaev,L,0,Kneebar,Lisbon Open,ABS,F,2018
18923,9554,Henrique Cardoso,9250,Gabriel Almeida,L,0,Footlock,European Open,88KG,SF,2019
18947,9554,Henrique Cardoso,8974,Kaynan Duarte,L,0,Pts: 4x0,European Open,ABS,R1,2019
19734,9554,Henrique Cardoso,,Henrique Lima,L,0,Referee Decision,Floripa Fall Open,ABS,4F,2019
19933,9554,Henrique Cardoso,8514,Fellipe Andrew,L,0,Reverse triangle,Curitiba Pro,94KG,SF,2019
20319,9554,Henrique Cardoso,8100,Rudson Mateus,L,0,Armbar,Brasileiro,88KG,F,2019
20831,9554,Henrique Cardoso,6825,Fernando Reis,L,0,Crucifix choke,Rio Open,ABS,F,2019
21342,9554,Henrique Cardoso,,Simoneli Emiliano,L,0,Pts: 4x2,Floripa WO,94KG,R1,2019
22120,9554,Henrique Cardoso,6825,Fernando Reis,L,0,Points,Curitiba SPO,ABS,SF,2019
22319,9554,Henrique Cardoso,,Igor Sousa,L,0,Referee Decision,Grand Slam RJ,85KG,R1,2019
23281,9554,Henrique Cardoso,4521,Erberth Santos,L,0,Pts: 4x2,Sul Brasileiro,ABS,F,2020
23396,9554,Henrique Cardoso,11064,Rider Zuchi,L,0,Guillotine,Curitiba SO,ABS,4F,2020
24356,9554,Henrique Cardoso,10199,Guthierry Barbosa,L,0,Pts: 4x0,Copa Podio,86KG,SF,2020
24752,9554,Henrique Cardoso,9117,Hygor Brito,L,0,Referee Decision,Grand Slam RJ,94KG,R1,2020
25167,9554,Henrique Cardoso,11746,Alex Munis,L,0,"Pts: 2x2, Adv",Big Deal Pro 2,85KG,SPF,2021
