match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
19222,9635,Guilherme Rocha,,Oliver Lovell,L,0,"Pts: 4x4, Adv",UK National Pro,77KG,F,2019
19276,9635,Guilherme Rocha,,Tommi Pulkkanen,L,0,Referee Decision,London WO,76KG,F,2019
19284,9635,Guilherme Rocha,7399,Horlando Monteiro,L,0,Wristlock,London WO,ABS,SF,2019
19444,9635,Guilherme Rocha,8308,Max Lindblad,L,0,Pts: 4x2,Grand Slam LDN,77KG,F,2019
20107,9635,Guilherme Rocha,8105,Tommy Langaker,L,0,"Pts: 0x0, Adv",World Pro,77KG,SF,2019
20617,9635,Guilherme Rocha,8516,Lucas Valente,L,0,Choke from back,World Champ.,76KG,R1,2019
20880,9635,Guilherme Rocha,,Marlus Salgado,L,0,Choke from back,Fortaleza Open,76KG,F,2019
21793,9635,Guilherme Rocha,,Marco Queiroz,L,0,Points,Brasileiro NoGi,79KG,SF,2019
21807,9635,Guilherme Rocha,,Marcos Goulart,L,0,Points,Brasileiro NoGi,ABS,R2,2019
22309,9635,Guilherme Rocha,6432,Yan Lucas,L,0,"Pts: 0x0, Adv",Grand Slam RJ,77KG,4F,2019
22315,9635,Guilherme Rocha,11015,Pablo Lavaselli,L,0,Pts: 4x2,Grand Slam RJ,77KG,RPC,2019
22711,9635,Guilherme Rocha,10669,Lucas Alves,L,0,Referee Decision,Salvador SPO,ABS,R1,2019
23084,9635,Guilherme Rocha,6103,Isaac Doederlein,L,0,Straight ankle lock,European Open,70KG,4F,2020
24456,9635,Guilherme Rocha,9031,Kennedy Maciel,L,0,Referee Decision,No Gi Pan Am.,67KG,4F,2020
24555,9635,Guilherme Rocha,6103,Isaac Doederlein,L,0,Straight ankle lock,American Nats,70KG,SF,2020
25155,9635,Guilherme Rocha,12629,Fabricio Barbarotti,L,0,Referee Decision,F2W 164,75KG,SPF,2021
27395,9635,Guilherme Rocha,,Matheus Ferreira,L,0,"Pts: 0x0, Adv",Sul Americano,82KG,8F,2021
27830,9635,Guilherme Rocha,12348,Lucas Protasio,L,0,Pts: 4x1,Joao Pessoa Pro,77KG,SF,2021
29501,9635,Guilherme Rocha,10085,Johnatha Alves,L,0,Pts: 2x0,World Champ.,76KG,8F,2021
30469,9635,Guilherme Rocha,12102,Nick Salles,L,0,Triangle,Atlanta WO,76KG,SF,2022
30478,9635,Guilherme Rocha,11878,Andy Murasaki,L,0,"Pts: 2x2, Adv",Atlanta WO,ABS,R1,2022
30699,9635,Guilherme Rocha,11878,Andy Murasaki,L,0,Armbar,Miami WO,ABS,F,2022
31077,9635,Guilherme Rocha,12671,Uanderson Ferreira,L,0,Pts: 1x0,King of Mats,85KG,RR,2022
31078,9635,Guilherme Rocha,11658,Lucas Gualberto,L,0,Referee Decision,King of Mats,85KG,RR,2022
32904,9635,Guilherme Rocha,10216,Natan Chueng,L,0,Choke from back,World Champ.,76KG,R1,2022
34305,9635,Guilherme Rocha,,Marco Queiroz,L,0,Referee Decision,Brasileiro NoGi,79KG,SF,2022
35704,9635,Guilherme Rocha,,Elder Gomes,L,0,Botinha,South American,82KG,4F,2022
36084,9635,Guilherme Rocha,,Gyula Szabo,L,0,N/A,European NG,79KG,4F,2022
37195,9635,Guilherme Rocha,11878,Andy Murasaki,L,0,Choke from back,European Open,76KG,R2,2023
38850,9635,Guilherme Rocha,,Lucas Maquine,L,0,Points,Salvador FO,76KG,8F,2023
42716,9635,Guilherme Rocha,11754,Victor Nithael,L,0,Points,Sul Americano,76KG,SF,2023
19221,9635,Guilherme Rocha,12629,Fabricio Barbarotti,W,1,Referee Decision,UK National Pro,77KG,SF,2019
19274,9635,Guilherme Rocha,,Gustav Espee,W,1,Armbar,London WO,76KG,4F,2019
19275,9635,Guilherme Rocha,3110,Victor Genovesi,W,1,"Pts: 2x2, Adv",London WO,76KG,SF,2019
19282,9635,Guilherme Rocha,3110,Victor Genovesi,W,1,Points,London WO,ABS,4F,2019
19435,9635,Guilherme Rocha,12629,Fabricio Barbarotti,W,1,Pts: 2x0,Grand Slam LDN,77KG,R1,2019
19440,9635,Guilherme Rocha,,Martin Aedma,W,1,"Pts: 0x0, Adv",Grand Slam LDN,77KG,4F,2019
19442,9635,Guilherme Rocha,,David Zeken,W,1,Triangle,Grand Slam LDN,77KG,SF,2019
19844,9635,Guilherme Rocha,,Oliver Lovell,W,1,Pts: 5x2,Rome Open,76KG,F,2019
19939,9635,Guilherme Rocha,,Joe Breslin,W,1,N/A,Munich Open,76KG,SF,2019
19940,9635,Guilherme Rocha,,Jan Baso,W,1,Pts: 8x0,Munich Open,76KG,F,2019
20038,9635,Guilherme Rocha,11039,Flavio Vianna,W,1,Pts: 2x0,WP BR Qualifier,77KG,R1,2019
20040,9635,Guilherme Rocha,,Michael Douglas,W,1,Pts: 6x0,WP BR Qualifier,77KG,4F,2019
20043,9635,Guilherme Rocha,,Antonio Silva,W,1,Pts: 2x0,WP BR Qualifier,77KG,SF,2019
20044,9635,Guilherme Rocha,7156,Tiago Bravo,W,1,"Pts: 0x0, Adv",WP BR Qualifier,77KG,F,2019
20092,9635,Guilherme Rocha,,Enrique Galarza,W,1,Points,World Pro,77KG,R1,2019
20099,9635,Guilherme Rocha,,Bruno Borges,W,1,Points,World Pro,77KG,R2,2019
20104,9635,Guilherme Rocha,8308,Max Lindblad,W,1,"Pts: 0x0, Adv",World Pro,77KG,4F,2019
20526,9635,Guilherme Rocha,,Deyvid Matos,W,1,Choke from mount,Salvador FO,76KG,SF,2019
20527,9635,Guilherme Rocha,,Victor Moraes,W,1,Choke from back,Salvador FO,76KG,F,2019
20879,9635,Guilherme Rocha,,Luan Rocha,W,1,Toe hold,Fortaleza Open,76KG,SF,2019
20892,9635,Guilherme Rocha,,Jostan Lima,W,1,RNC,Fortaleza NGO,74KG,SF,2019
20893,9635,Guilherme Rocha,,Raimundo Nonato,W,1,RNC,Fortaleza NGO,74KG,F,2019
21788,9635,Guilherme Rocha,,Renan Seixas,W,1,Adv,Brasileiro NoGi,79KG,R1,2019
21790,9635,Guilherme Rocha,,Phillip Franca,W,1,RNC,Brasileiro NoGi,79KG,4F,2019
21805,9635,Guilherme Rocha,,Pedro Henrique,W,1,N/A,Brasileiro NoGi,ABS,R1,2019
22301,9635,Guilherme Rocha,,Gustavo Borchardt,W,1,Pts: 3x0,Grand Slam RJ,77KG,R1,2019
22703,9635,Guilherme Rocha,,Nazareno Silva,W,1,Points,Salvador SPO,76KG,SF,2019
22704,9635,Guilherme Rocha,,Anselmo Gomes,W,1,Points,Salvador SPO,76KG,F,2019
23078,9635,Guilherme Rocha,,John Lenno,W,1,Pts: 2x0,European Open,70KG,R1,2020
23531,9635,Guilherme Rocha,,Robert Galluccio,W,1,Submission,London WO,70KG,SF,2020
23532,9635,Guilherme Rocha,12751,Sam McNally,W,1,Pts: 4x0,London WO,70KG,F,2020
24454,9635,Guilherme Rocha,,Gabriel Silva,W,1,Pts: 2x0,No Gi Pan Am.,67KG,4F,2020
24553,9635,Guilherme Rocha,,Orlando Castillo,W,1,"Pts: 2x2, Adv",American Nats,70KG,4F,2020
27829,9635,Guilherme Rocha,,Pedro Souza,W,1,Pts: 8x0,Joao Pessoa Pro,77KG,4F,2021
29396,9635,Guilherme Rocha,,Gred Walker,W,1,Pts: 6x0,Toro Cup 18,76KG,SPF,2021
30468,9635,Guilherme Rocha,,Giovanni Carvalho,W,1,Choke from back,Atlanta WO,76KG,4F,2022
30687,9635,Guilherme Rocha,,Adolfo Arias,W,1,Pts: 8x0,Miami WO,88KG,RR,2022
30689,9635,Guilherme Rocha,,Adolfo Arias,W,1,Toe hold,Miami WO,88KG,F,2022
30691,9635,Guilherme Rocha,,Chris Gabrielson,W,1,Choke from back,Miami WO,ABS,R1,2022
30693,9635,Guilherme Rocha,10698,Matheus Godoy,W,1,Referee Decision,Miami WO,ABS,4F,2022
30697,9635,Guilherme Rocha,9031,Kennedy Maciel,W,1,Pts: 2x0,Miami WO,ABS,SF,2022
32701,9635,Guilherme Rocha,,Iranslav Neoral,W,1,Ezekiel,Salvador Open,76KG,4F,2022
32703,9635,Guilherme Rocha,,Leonardo Cruz,W,1,Choke from back,Salvador Open,76KG,SF,2022
32705,9635,Guilherme Rocha,,Anselmo Gomes,W,1,Choke from back,Salvador Open,76KG,F,2022
34295,9635,Guilherme Rocha,,Alexandre Nunes,W,1,Inside heel hook,Brasileiro NoGi,79KG,R1,2022
34300,9635,Guilherme Rocha,,Henrique Silva,W,1,"Pts: 0x0, Adv",Brasileiro NoGi,79KG,4F,2022
35700,9635,Guilherme Rocha,,Fernando Santos,W,1,N/A,South American,82KG,R1,2022
36083,9635,Guilherme Rocha,,Jarmo Kullervo,W,1,N/A,European NG,79KG,8F,2022
37189,9635,Guilherme Rocha,,Tyrone Jepson,W,1,Choke from back,European Open,76KG,R1,2023
42706,9635,Guilherme Rocha,,Rodrigo Goncalves,W,1,Pts: 14x0,Sul Americano,76KG,8F,2023
42714,9635,Guilherme Rocha,,Guilherme Silva,W,1,Points,Sul Americano,76KG,4F,2023
