match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
14668,9668,David Garmo,8682,Lachlan Giles,L,0,Crucifix armbar,NoGi Worlds,73KG,R2,2017
14731,9668,David Garmo,,Frederico Augusto,L,0,Pts: 9x2,NoGi Worlds,ABS,R1,2017
14777,9668,David Garmo,,Robson Tanno,L,0,Pts: 2x0,Los Conchas,ABS,F,2017
15595,9668,David Garmo,8116,Dante Leon,L,0,Triangle armbar,Chicago Sp. Open,82KG,SF,2018
15606,9668,David Garmo,7399,Horlando Monteiro,L,0,Triangle,Chicago Sp. Open,ABS,4F,2018
15626,9668,David Garmo,1824,Roberto Satoshi,L,0,RNC,Quintet FN,ABS,F,2018
16799,9668,David Garmo,,Michael Carpenter,L,0,Points,Dreem Nutrition,81KG,SF,2018
16802,9668,David Garmo,,Alex Hernandez,L,0,Inside heel hook,Dreem Nutrition,81KG,3RD,2018
16851,9668,David Garmo,,Luke Szeman,L,0,Heel hook,KO Finishers,76KG,4F,2018
17216,9668,David Garmo,11465,Kauan Barboza,L,0,Pts: 6x2,Chicago SM NGO,79KG,F,2018
17219,9668,David Garmo,8116,Dante Leon,L,0,RNC,Chicago SM NGO,ABS,F,2018
17998,9668,David Garmo,9344,PJ Barch,L,0,EBI/OT,Onnit Inv. 9,77KG,SF,2018
18140,9668,David Garmo,6354,Jonathan Satava,L,0,RNC,ADCC EC Trials,77KG,4F,2018
18633,9668,David Garmo,7686,Sergio Ardila,L,0,Pts: 2x0,NoGi Worlds,79KG,R2,2018
18713,9668,David Garmo,9246,Tex Johnson,L,0,Pts: 10x2,NoGi Worlds,ABS,R2,2018
19025,9668,David Garmo,,Koshi Matsumoto,L,0,Cross ankle lock,Quintet FN2,ABS,F,2019
20171,9668,David Garmo,,Athos Miranda,L,0,N/A,NY Spring Open,82KG,SF,2019
20184,9668,David Garmo,9064,Silvio Duran,L,0,Pts: 4x2,NY Spring Open,ABS,R1,2019
20190,9668,David Garmo,7664,Johnny Tama,L,0,Points,NY Spring NGO,73KG,SF,2019
20493,9668,David Garmo,8116,Dante Leon,L,0,RNC,KOTM Inv.,ABS,4F,2019
21316,9668,David Garmo,,Ruben Rivera,L,0,EBI/OT,MDW Finishers,77KG,SF,2019
22062,9668,David Garmo,9407,Alexandre Molinaro,L,0,Referee Decision,London FNGO,79KG,F,2019
22064,9668,David Garmo,7704,Helton Jose,L,0,"Pts: 2x2, Adv",London FNGO,ABS,SF,2019
23327,9668,David Garmo,11707,Oliver Taza,L,0,Armbar,Para Bellum,ABS,SF,2020
23766,9668,David Garmo,11991,Pedro Marinho,L,0,Guillotine,Jitz King,84KG,R1,2020
23883,9668,David Garmo,11049,Kody Steele,L,0,Referee Decision,F2W 150,86KG,SPF,2020
24473,9668,David Garmo,10220,Paulo Gabriel,L,0,"Pts: 2x2, Adv",No Gi Pan Am.,79KG,R1,2020
24512,9668,David Garmo,4542,Felipe Cesar,L,0,Pts: 9x2,No Gi Pan Am.,ABS,R1,2020
24615,9668,David Garmo,,Carlos Souza,L,0,"Pts: 2x2, Adv",American NGN,79KG,4F,2020
24644,9668,David Garmo,9250,Gabriel Almeida,L,0,Omoplata,American NGN,ABS,F,2020
25232,9668,David Garmo,11707,Oliver Taza,L,0,Inside heel hook,Dallas NGO,79KG,F,2021
25251,9668,David Garmo,9246,Tex Johnson,L,0,Kneebar,Dallas NGO,ABS,F,2021
25961,9668,David Garmo,11808,Andrew Wiltse,L,0,RNC,WNO 8,83KG,SPF,2021
26150,9668,David Garmo,10506,Jeferson Guaresi,L,0,Pts: 2x0,NoGi Pan Am.,85KG,4F,2021
26322,9668,David Garmo,,Almog Britch,L,0,Armbar,Indianapolis NGO,ABS,F,2021
27971,9668,David Garmo,5423,Matheus Diniz,L,0,Face mask choke,Grapple Temple,N/A,SPF,2021
28185,9668,David Garmo,7519,Eliot Kelly,L,0,Pts: 11x0,NoGi Worlds,ABS,8F,2021
28291,9668,David Garmo,,Hunter Newton,L,0,Short choke,NoGi Worlds,85KG,R1,2021
28902,9668,David Garmo,,Sean Yadimarco,L,0,Pts: 2x0,ADCC EC Trials,88KG,R4,2021
29824,9668,David Garmo,13162,Jacob Couch,L,0,Inside heel hook,WNO 11,93KG,SPF,2022
30923,9668,David Garmo,11707,Oliver Taza,L,0,Straight ankle lock,EBI 19,77KG,4F,2022
31393,9668,David Garmo,,Hunter Colvin,L,0,RNC,ADCC WC Trials,88KG,SF,2022
31396,9668,David Garmo,,Mike Crisp,L,0,Straight ankle lock,ADCC WC Trials,88KG,3RD,2022
33488,9668,David Garmo,,Aaron Tiegs,L,0,Triangle,American NGN,ABS,SF,2022
33665,9668,David Garmo,,Chris Wojcik,L,0,Inside heel hook,Midwest F8,84KG,SPF,2022
34956,9668,David Garmo,10506,Jeferson Guaresi,L,0,Pts: 2x0,ADCC Vegas,83KG,8F,2022
36103,9668,David Garmo,9793,Alexandre Jesus,L,0,Points,European NG,85KG,SF,2022
36864,9668,David Garmo,12069,Bruno Matias,L,0,Guillotine,NoGi Worlds,85KG,4F,2022
39110,9668,David Garmo,,Dan Manasoiu,L,0,Pts: 8x0,ADCC CAN,ABS,SF,2023
39219,9668,David Garmo,13162,Jacob Couch,L,0,Points,Chicago SPNG,91KG,F,2023
41223,9668,David Garmo,12922,Elder Cruz,L,0,Pts: 4x0,American NNG,91KG,SF,2023
42454,9668,David Garmo,13162,Jacob Couch,L,0,Outside heel hook,ADCC Chicago,91KG,SF,2023
42461,9668,David Garmo,,Sean Yadimarco,L,0,Referee Decision,ADCC Chicago,91KG,3RD,2023
43265,9668,David Garmo,13162,Jacob Couch,L,0,RNC,NoGi Pan,85KG,R1,2023
14666,9668,David Garmo,,Talison Soares,W,1,Referee Decision,NoGi Worlds,73KG,R1,2017
14774,9668,David Garmo,,Robson Tanno,W,1,Pts: 5x0,Los Conchas,80KG,F,2017
14775,9668,David Garmo,,N/A,W,1,Kimura,Los Conchas,ABS,4F,2017
14776,9668,David Garmo,,N/A,W,1,Kneebar,Los Conchas,ABS,SF,2017
15593,9668,David Garmo,,Tom Kozlowski,W,1,Choke,Chicago Sp. Open,82KG,4F,2018
15604,9668,David Garmo,,Aizbeck Mustekov,W,1,Armbar,Chicago Sp. Open,ABS,R1,2018
15611,9668,David Garmo,,Kengo Ikuta,W,1,Kneebar,Dumau Kyushu,82KG,SF,2018
15612,9668,David Garmo,,Kenji Nishimoto,W,1,Kneebar,Dumau Kyushu,82KG,F,2018
15613,9668,David Garmo,,Yosoyoshi Iwamoto,W,1,Kneebar,Dumau Kyushu,ABS,SF,2018
15614,9668,David Garmo,,Kenji Nishimoto,W,1,Kneebar,Dumau Kyushu,ABS,F,2018
