match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
4694,9758,Kit Dale,1003,Diogo Sampaio,L,0,Pts: 5x2,Copa Podio,88KG,GP,2013
4703,9758,Kit Dale,1386,Davi Ramos,D,0.5,---,Copa Podio,88KG,GP,2013
5110,9758,Kit Dale,2416,Felipe Pena,L,0,RNC,NoGi Worlds,85KG,4F,2013
5652,9758,Kit Dale,2107,Otavio Sousa,L,0,Pts: 7x2,World Pro.,82KG,R1,2014
5807,9758,Kit Dale,1848,Marcos Souza,L,0,Pts: 2x0,World Champ.,82KG,R1,2014
5872,9758,Kit Dale,5649,Garry Tonon,L,0,Guillotine,Metamoris 4,ABS,SPF,2014
6362,9758,Kit Dale,1659,Bruno Alves,L,0,Omoplata,Boa Super 8,85KG,R1,2014
10925,9758,Kit Dale,5423,Matheus Diniz,L,0,RNC,NoGi Worlds,85KG,4F,2016
12660,9758,Kit Dale,410,Claudio Calasans,L,0,Pts: 4x2,World Pro,85KG,R1,2017
12672,9758,Kit Dale,8290,Marcos Costa,L,0,Pts: 2x0,World Pro,85KG,RPC,2017
12921,9758,Kit Dale,,Roberto Dib,L,0,Referee Decision,Melbourne Pro,ABS,F,2017
13176,9758,Kit Dale,144,Andre Galvao,L,0,Pts: 9x0,World Champ.,88KG,4F,2017
13882,9758,Kit Dale,320,Romulo Barral,L,0,Short choke,ADCC,88KG,E1,2017
14697,9758,Kit Dale,484,Murilo Santana,L,0,Pts: 4x0,NoGi Worlds,85KG,4F,2017
14735,9758,Kit Dale,3009,Keenan Cornelius,L,0,Triangle,NoGi Worlds,ABS,R2,2017
15165,9758,Kit Dale,1031,Jake Shields,L,0,Referee Decision,F2W 62,ABS,SPF,2018
18005,9758,Kit Dale,247,Rodolfo Vieira,L,0,Violin armlock,Black Belt CBD,O83KG,SF,2018
18661,9758,Kit Dale,7096,Josh Hinger,L,0,"Pts: 0x0, Adv",NoGi Worlds,85KG,4F,2018
20550,9758,Kit Dale,10405,Marcelo Nunes,D,0.5,---,WSOF 1,ABS,SPF,2019
4699,9758,Kit Dale,474,Alexandre Ceconi,W,1,Pts: 2x0,Copa Podio,88KG,GP,2013
5206,9758,Kit Dale,,N/A,W,1,Submission,Australia Cup,88KG,NA,2013
5207,9758,Kit Dale,,Leandro Silva,W,1,Armbar,Australia Cup,88KG,NA,2013
5208,9758,Kit Dale,,William Dias,W,1,Pts: 2x0,Australia Cup,88KG,NA,2013
5209,9758,Kit Dale,1659,Bruno Alves,W,1,Pts: 10x0,Australia Cup,88KG,NA,2013
5210,9758,Kit Dale,1659,Bruno Alves,W,1,Pts: 10x0,Australia NGC,85KG,NA,2013
5211,9758,Kit Dale,,W. Darragh,W,1,Points,Pan Pacific,88KG,F,2013
5212,9758,Kit Dale,,T. Stefanutti,W,1,Points,Pan Pacific NG,85KG,F,2013
5213,9758,Kit Dale,,Julian Gonzalez,W,1,Botinha,Synergy Pro,ABS,SPF,2013
6397,9758,Kit Dale,4235,Victor Silverio,D,0.5,---,Polaris,ABS,SPF,2015
10922,9758,Kit Dale,,Mathew Secor,W,1,Pts: 25x2,NoGi Worlds,85KG,R1,2016
11394,9758,Kit Dale,,Troy Skidmore,W,1,Kimura,Sydney Open,88KG,4F,2017
11395,9758,Kit Dale,,Reid Reale,W,1,Botinha,Sydney Open,88KG,SF,2017
11396,9758,Kit Dale,,Rodolfo Campani,W,1,Armbar,Sydney Open,ABS,SF,2017
11397,9758,Kit Dale,,Yan Cabral,W,1,Injury,Sydney Open,ABS,F,2017
11398,9758,Kit Dale,,Reid Reale,W,1,Short choke,Sydney NGO,ABS,SF,2017
11399,9758,Kit Dale,,Jose Greco,W,1,Pts: 7x0,Sydney NGO,ABS,F,2017
11400,9758,Kit Dale,,Viking Wong,W,1,Pts: 5x0,ADCC JPN Trials,88KG,F,2017
12668,9758,Kit Dale,,Thabet Al Taher,W,1,Guillotine,World Pro,85KG,RPC,2017
12670,9758,Kit Dale,8081,Nathan Mendelsohn,W,1,Pts: 5x4,World Pro,85KG,RPC,2017
12919,9758,Kit Dale,,Roberto Dib,W,1,Points,Melbourne Pro,85KG,F,2017
12920,9758,Kit Dale,,Harmut Heske,W,1,N/A,Melbourne Pro,ABS,SF,2017
13167,9758,Kit Dale,1895,Rodrigo Fajardo,W,1,Pts: 3x0,World Champ.,88KG,R1,2017
13169,9758,Kit Dale,,Victor Bomfim,W,1,Pts: 4x0,World Champ.,88KG,8F,2017
14696,9758,Kit Dale,,S. Abdulkader,W,1,Guillotine,NoGi Worlds,85KG,R1,2017
14728,9758,Kit Dale,7664,Johnny Tama,W,1,Referee Decision,NoGi Worlds,ABS,R1,2017
17373,9758,Kit Dale,8105,Tommy Langaker,W,1,Points,Nordic ADCC,88KG,SPF,2018
18562,9758,Kit Dale,,Mathew Tesla,D,0.5,---,Nacka Dojo,ABS,SPF,2018
18645,9758,Kit Dale,,Fabricio Machado,W,1,RNC,NoGi Worlds,85KG,R1,2018
18657,9758,Kit Dale,10501,Valdir Araujo,W,1,Referee Decision,NoGi Worlds,85KG,R2,2018
26323,9758,Kit Dale,,Josue Cuellar,W,1,Kimura,World League,88KG,RR,2021
26324,9758,Kit Dale,,Luis Robles,W,1,Pts: 17x0,World League,88KG,RR,2021
