match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
18490,9793,Alexandre Jesus,6432,Yan Lucas,L,0,Points,Brasilia Open,82KG,SF,2018
19628,9793,Alexandre Jesus,2107,Otavio Sousa,L,0,Choke from back,Pan American,82KG,4F,2019
19755,9793,Alexandre Jesus,9250,Gabriel Almeida,L,0,Heel hook,ADCC SP Trials,88KG,R1,2019
20297,9793,Alexandre Jesus,8647,Igor Verissimo,L,0,Bow and arrow,Brasileiro,82KG,R3,2019
20637,9793,Alexandre Jesus,5347,Yago Souza,L,0,"Pts: 2x2, Adv",World Champ.,82KG,R1,2019
21015,9793,Alexandre Jesus,5756,Wellington Luis,L,0,Referee Decision,SP BJJ Pro,82KG,F,2019
21524,9793,Alexandre Jesus,,W. Costa,L,0,Choke from back,Team Nationals,ABS,F,2019
23117,9793,Alexandre Jesus,8448,Pedro Ramalho,L,0,"Pts: 2x2, Adv",European Open,82KG,SF,2020
23869,9793,Alexandre Jesus,9573,Marcos Martins,L,0,Pts: 4x0,BJJ Stars,N/A,SPF,2020
24744,9793,Alexandre Jesus,4460,Jaime Canuto,L,0,Referee Decision,Grand Slam RJ,85KG,4F,2020
24749,9793,Alexandre Jesus,4460,Jaime Canuto,L,0,Armbar,Grand Slam RJ,85KG,3RD,2020
26836,9793,Alexandre Jesus,8528,Servio Tulio,L,0,RNC,Copa Kings,87KG,F,2021
27255,9793,Alexandre Jesus,11384,Andre Porfirio,L,0,Pts: 4x2,Grand Slam MIA,85KG,SF,2021
27596,9793,Alexandre Jesus,11697,Tainan Dalpra,L,0,Kimura,Pan American,82KG,4F,2021
28288,9793,Alexandre Jesus,8138,Hugo Marques,L,0,Pts: 4x0,NoGi Worlds,79KG,SF,2021
29522,9793,Alexandre Jesus,10103,Jonnatas Gracie,L,0,Referee Decision,World Champ.,82KG,8F,2021
30061,9793,Alexandre Jesus,11766,Gabriel Costa,L,0,Referee Decision,ADCC BR1 Trials,88KG,R2,2022
32935,9793,Alexandre Jesus,,Filipe Cesar,L,0,Arm in Ezekiel,World Champ.,82KG,R1,2022
33149,9793,Alexandre Jesus,10162,Ronaldo Junior,L,0,Referee Decision,EUG 4,82KG,SF,2022
34350,9793,Alexandre Jesus,,Miguel Curi,L,0,"Pts: 0x0, Adv",Brasileiro NoGi,ABS,4F,2022
35037,9793,Alexandre Jesus,11789,Mason Fowler,L,0,Guillotine,ADCC,88KG,R1,2022
36053,9793,Alexandre Jesus,11707,Oliver Taza,L,0,Pts: 2x0,European NG,ABS,SF,2022
36105,9793,Alexandre Jesus,11707,Oliver Taza,L,0,Pts: 4x0,European NG,85KG,F,2022
38522,9793,Alexandre Jesus,12122,Mica Galvao,L,0,Choke from back,Majestic,82KG,SPF,2023
39502,9793,Alexandre Jesus,11697,Tainan Dalpra,L,0,Choke from back,Brasileiro,82KG,SF,2023
40291,9793,Alexandre Jesus,12506,Jansen Gomes,L,0,Choke from back,World Champ.,82KG,4F,2023
42894,9793,Alexandre Jesus,,Vinicius Paoli,L,0,Referee Decision,ADGS Miami,77KG,SF,2023
18361,9793,Alexandre Jesus,7256,Jan Buatim,W,1,Choke from back,South American,82KG,R1,2018
18362,9793,Alexandre Jesus,9876,Alef Brito,W,1,Pts: 5x0,South American,82KG,4F,2018
18363,9793,Alexandre Jesus,12629,Fabricio Barbarotti,W,1,"Pts: 0x0, Adv",South American,82KG,SF,2018
18364,9793,Alexandre Jesus,,Rodolphe Souza,W,1,Pts: 8x0,South American,82KG,F,2018
18487,9793,Alexandre Jesus,,Andre Astolfo,W,1,Points,Brasilia Open,82KG,4F,2018
19617,9793,Alexandre Jesus,7636,Vinicius Garcia,W,1,Cross choke,Pan American,82KG,R1,2019
19622,9793,Alexandre Jesus,5660,Lucas Rocha,W,1,Armbar,Pan American,82KG,8F,2019
19920,9793,Alexandre Jesus,,Celso Reis,W,1,Armbar,Curitiba Pro,82KG,R1,2019
19925,9793,Alexandre Jesus,,Luciano Bernert,W,1,Pts: 5x0,Curitiba Pro,82KG,4F,2019
19929,9793,Alexandre Jesus,8647,Igor Verissimo,W,1,Choke from back,Curitiba Pro,82KG,F,2019
20296,9793,Alexandre Jesus,,Romario Teodoro,W,1,Points,Brasileiro,82KG,R2,2019
21009,9793,Alexandre Jesus,,Ricardo Rocha,W,1,Armbar,SP BJJ Pro,82KG,R1,2019
21012,9793,Alexandre Jesus,,Ygor Dantas,W,1,Points,SP BJJ Pro,82KG,4F,2019
21014,9793,Alexandre Jesus,9573,Marcos Martins,W,1,Pts: 3x2,SP BJJ Pro,82KG,SF,2019
21523,9793,Alexandre Jesus,,N/A,W,1,N/A,Team Nationals,ABS,SF,2019
22574,9793,Alexandre Jesus,10669,Lucas Alves,W,1,Armbar,South American,82KG,R1,2019
22577,9793,Alexandre Jesus,,Leonilson Marques,W,1,Bow and arrow,South American,82KG,4F,2019
22579,9793,Alexandre Jesus,,Ygor Dantas,W,1,Pts: 2x0,South American,82KG,SF,2019
22581,9793,Alexandre Jesus,5756,Wellington Luis,W,1,Pts: 2x0,South American,82KG,F,2019
23111,9793,Alexandre Jesus,,Lars Friberg,W,1,Armbar,European Open,82KG,R1,2020
23115,9793,Alexandre Jesus,8308,Max Lindblad,W,1,Referee Decision,European Open,82KG,4F,2020
24733,9793,Alexandre Jesus,,Ramon Delsin,W,1,Choke from back,Grand Slam RJ,85KG,R1,2020
24734,9793,Alexandre Jesus,,Bruno Tosto,W,1,Pts: 4x0,Grand Slam RJ,85KG,8F,2020
24747,9793,Alexandre Jesus,,Lionel Bareiro,W,1,Pts: 7x0,Grand Slam RJ,85KG,RPC,2020
25311,9793,Alexandre Jesus,,Sergio Soares,W,1,RNC,Rio Open,82KG,4F,2021
25316,9793,Alexandre Jesus,10216,Natan Chueng,W,1,Pts: 4x0,Rio Open,82KG,SF,2021
25317,9793,Alexandre Jesus,9121,Ygor Rodrigues,W,1,Pts: 2x0,Rio Open,82KG,F,2021
26831,9793,Alexandre Jesus,,Djalma Morais,W,1,RNC,Copa Kings,87KG,4F,2021
26834,9793,Alexandre Jesus,10644,Marcelo Gomide,W,1,Referee Decision,Copa Kings,87KG,SF,2021
27259,9793,Alexandre Jesus,11646,Andre Gois,W,1,DQ,Grand Slam MIA,85KG,RPC,2021
27260,9793,Alexandre Jesus,,Lucas Moutinho,W,1,Armbar,Grand Slam MIA,85KG,3RD,2021
27589,9793,Alexandre Jesus,,Celso Reis,W,1,Pts: 2x0,Pan American,82KG,8F,2021
27868,9793,Alexandre Jesus,,Joao Braz,W,1,Inside heel hook,Atlanta SMNG,85KG,4F,2021
27870,9793,Alexandre Jesus,,Joseph Watson,W,1,Pts: 4x2,Atlanta SMNG,85KG,SF,2021
27871,9793,Alexandre Jesus,11960,Joao Cizeski,W,1,"Pts: 0x0, Adv",Atlanta SMNG,85KG,F,2021
27875,9793,Alexandre Jesus,11960,Joao Cizeski,W,1,Pts: 6x0,Atlanta SMNG,ABS,4F,2021
27876,9793,Alexandre Jesus,,Thiago Saldanha,W,1,RNC,Atlanta SMNG,ABS,SF,2021
27878,9793,Alexandre Jesus,11919,Daniel Maira,W,1,"Pts: 0x0, Adv",Atlanta SMNG,ABS,F,2021
28265,9793,Alexandre Jesus,,Celso Reis,W,1,Armbar,NoGi Worlds,79KG,R2,2021
28277,9793,Alexandre Jesus,4460,Jaime Canuto,W,1,Pts: 2x0,NoGi Worlds,79KG,8F,2021
28284,9793,Alexandre Jesus,,Johnathan Satava,W,1,Referee Decision,NoGi Worlds,79KG,4F,2021
29514,9793,Alexandre Jesus,8528,Servio Tulio,W,1,DQ,World Champ.,82KG,R1,2021
30324,9793,Alexandre Jesus,,Darllan Whinsthon,W,1,Armbar,ADCC BR2 Trials,88KG,R2,2022
30340,9793,Alexandre Jesus,,Gabriel Lara,W,1,Armbar,ADCC BR2 Trials,88KG,R3,2022
30352,9793,Alexandre Jesus,,Rafael Jesus,W,1,Pts: 5x0,ADCC BR2 Trials,88KG,8F,2022
30358,9793,Alexandre Jesus,,Calon Sabino,W,1,Pts: 3x0,ADCC BR2 Trials,88KG,4F,2022
30361,9793,Alexandre Jesus,11384,Andre Porfirio,W,1,Referee Decision,ADCC BR2 Trials,88KG,SF,2022
30362,9793,Alexandre Jesus,10174,Rafael Paganini,W,1,Referee Decision,ADCC BR2 Trials,88KG,F,2022
32506,9793,Alexandre Jesus,,Sean Fisher,W,1,Wristlock,Atlanta SPO,82KG,4F,2022
32509,9793,Alexandre Jesus,,Carlos Neto,W,1,Pts: 8x2,Atlanta SPO,82KG,SF,2022
32510,9793,Alexandre Jesus,9014,Levi Jones,W,1,Referee Decision,Atlanta SPO,82KG,F,2022
33146,9793,Alexandre Jesus,11658,Lucas Gualberto,W,1,Pts: 3x0,EUG 4,82KG,4F,2022
34344,9793,Alexandre Jesus,,Pablo Raimundo,W,1,Pts: 5x2,Brasileiro NoGi,ABS,8F,2022
35657,9793,Alexandre Jesus,,Michael Neary,W,1,RNC,London FNGO,85KG,F,2022
36039,9793,Alexandre Jesus,,D. Margaritopoulos,W,1,Armbar,European NG,ABS,R1,2022
36046,9793,Alexandre Jesus,,Jakub Najdek,W,1,Points,European NG,ABS,R2,2022
36052,9793,Alexandre Jesus,7519,Eliot Kelly,W,1,Points,European NG,ABS,4F,2022
36091,9793,Alexandre Jesus,,Fabricio Pitittio,W,1,Armbar,European NG,85KG,8F,2022
36101,9793,Alexandre Jesus,,Jaakko Vilander,W,1,Points,European NG,85KG,4F,2022
36103,9793,Alexandre Jesus,9668,David Garmo,W,1,Points,European NG,85KG,SF,2022
38027,9793,Alexandre Jesus,,Luiz Neto,W,1,Pts: 2x0,Curitiba SMO,82KG,8F,2023
38037,9793,Alexandre Jesus,13269,Lucas Foguinho,W,1,Pts: 3x0,Curitiba SMO,82KG,4F,2023
38040,9793,Alexandre Jesus,,Jhonathan Marques,W,1,Pts: 3x0,Curitiba SMO,82KG,SF,2023
38041,9793,Alexandre Jesus,11872,Luiz Paulo,W,1,Pts: 5x0,Curitiba SMO,82KG,F,2023
39494,9793,Alexandre Jesus,,Gabriel Avila,W,1,Pts: 4x0,Brasileiro,82KG,R1,2023
39498,9793,Alexandre Jesus,,Wallisson Oliveira,W,1,Pts: 3x0,Brasileiro,82KG,4F,2023
40286,9793,Alexandre Jesus,,Fausto Godoy,W,1,Pts: 2x0,World Champ.,82KG,8F,2023
42890,9793,Alexandre Jesus,9217,Caio Caetano,W,1,Pts: 3x2,ADGS Miami,77KG,4F,2023
42898,9793,Alexandre Jesus,,Lucas Garcia,W,1,Armbar,ADGS Miami,77KG,3RD,2023
