match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
17579,9876,Alef Brito,9217,Caio Caetano,L,0,Kneebar,Grand Slam LA,77KG,SF,2018
17582,9876,Alef Brito,,Bruno Tosto,L,0,DQ,Grand Slam LA,77KG,RR,2018
18362,9876,Alef Brito,9793,Alexandre Jesus,L,0,Pts: 5x0,South American,82KG,4F,2018
19216,9876,Alef Brito,12654,Tarik Hopstock,L,0,Footlock,Copa Podio,77KG,SF,2019
20625,9876,Alef Brito,7539,Renato Canuto,L,0,Pts: 4x2,World Champ.,76KG,R2,2019
21122,9876,Alef Brito,,Piter Frank,L,0,Referee Decision,Portland SMO,76KG,F,2019
21572,9876,Alef Brito,,Fred Alves,L,0,Pts: 2x0,No Gi Pan Am.,73KG,R1,2019
22573,9876,Alef Brito,9465,Endres Barbosa,L,0,Choke from back,South American,76KG,F,2019
22707,9876,Alef Brito,9312,Alexandre Cavaliere,L,0,Referee Decision,Salvador SPO,82KG,F,2019
32629,9876,Alef Brito,9217,Caio Caetano,L,0,Referee Decision,Denver Open,82KG,SF,2022
32652,9876,Alef Brito,12537,Pedro Machado,L,0,Americana,Denver Open,ABS,4F,2022
32918,9876,Alef Brito,9002,Matheus Gabriel,L,0,Pts: 2x0,World Champ.,76KG,8F,2022
34724,9876,Alef Brito,11015,Pablo Lavaselli,L,0,Choke from back,JJ Con,76KG,SF,2022
35206,9876,Alef Brito,,Lucas Brito,L,0,RNC,Atlanta FO,82KG,F,2022
35475,9876,Alef Brito,8261,Rolando Samson,L,0,Armbar,Twin Cities Open,82KG,SF,2022
35898,9876,Alef Brito,11878,Andy Murasaki,L,0,Submission,Houston FO,82KG,F,2022
38399,9876,Alef Brito,11015,Pablo Lavaselli,L,0,Referee Decision,Pan American,76KG,SF,2023
40267,9876,Alef Brito,8215,Espen Mathiesen,L,0,Referee Decision,World Champ.,76KG,8F,2023
41141,9876,Alef Brito,11208,Jackson Nagai,L,0,Choke from back,American Nats,82KG,SF,2023
41170,9876,Alef Brito,10509,Mathias Luna,L,0,Referee Decision,American Nats,ABS,4F,2023
42286,9876,Alef Brito,,Guilherme Cleovan,L,0,"Pts: 0x0, Adv",JJ Con,82KG,F,2023
17481,9876,Alef Brito,,Andre Costa,W,1,Points,Sao Paulo Open,82KG,4F,2018
17484,9876,Alef Brito,8602,Eduardo Tinoco,W,1,Points,Sao Paulo Open,82KG,4F,2018
17485,9876,Alef Brito,,Ygor Dantas,W,1,Points,Sao Paulo Open,82KG,SF,2018
17573,9876,Alef Brito,4851,Kim Terra,W,1,Referee Decision,Grand Slam LA,77KG,R1,2018
17577,9876,Alef Brito,,Gustav Apee,W,1,DQ,Grand Slam LA,77KG,4F,2018
18058,9876,Alef Brito,4235,Victor Silverio,W,1,Pen,SJJIF Worlds,82KG,4F,2018
19209,9876,Alef Brito,5078,Luan Carvalho,D,0.5,---,Copa Podio,77KG,RR,2019
19211,9876,Alef Brito,,Diego Pato,D,0.5,---,Copa Podio,77KG,RR,2019
19213,9876,Alef Brito,,P. Rocha,W,1,Pts: 4x2,Copa Podio,77KG,RR,2019
19214,9876,Alef Brito,8105,Tommy Langaker,W,1,50/50 armbar,Copa Podio,77KG,RR,2019
