match_num,bjjheroes_id,name,opponent_bjjheroes_id,opponent_name,result,result_int,method,competition,weight,stage,year
15672,9959,Perttu Tepponen,,Thomas Loubersanes,L,0,Referee Decision,European NoGi,97KG,F,2018
15696,9959,Perttu Tepponen,,Stas Varshavsky,L,0,Pts: 3x2,Rome Open,100KG,F,2018
15701,9959,Perttu Tepponen,5655,Lucas Barbosa,L,0,Submission,Rome Open,ABS,SF,2018
16650,9959,Perttu Tepponen,2235,Renato Cardoso,L,0,Pts: 2x0,Copa Podio,O94KG,RR,2018
16654,9959,Perttu Tepponen,8514,Fellipe Andrew,L,0,Mounted triangle,Copa Podio,O94KG,RR,2018
16658,9959,Perttu Tepponen,,D. Johnson,L,0,"Pts: 0x0, Adv",Copa Podio,O94KG,RR,2018
21829,9959,Perttu Tepponen,5655,Lucas Barbosa,L,0,Pts: 3x0,ADCC,99KG,R1,2019
22428,9959,Perttu Tepponen,7695,Sebastian Brosche,L,0,N/A,Amsterdam Open,ABS,4F,2019
22809,9959,Perttu Tepponen,733,Vinny Magalhaes,L,0,Pts: 5x4,NoGi Worlds,ABS,R1,2019
22902,9959,Perttu Tepponen,10644,Marcelo Gomide,L,0,"Pts: 0x0, Adv",NoGi Worlds,97KG,4F,2019
30609,9959,Perttu Tepponen,,Eric Bergmann,L,0,Referee Decision,European Open,100KG,4F,2022
30645,9959,Perttu Tepponen,8514,Fellipe Andrew,L,0,Pts: 22x0,European Open,ABS,4F,2022
36049,9959,Perttu Tepponen,6825,Fernando Reis,L,0,Pts: 2x0,European NG,ABS,4F,2022
36123,9959,Perttu Tepponen,6825,Fernando Reis,L,0,Points,European NG,97KG,F,2022
15671,9959,Perttu Tepponen,,Marek Zbrog,W,1,Kimura,European NoGi,97KG,SF,2018
15695,9959,Perttu Tepponen,,Amadeu Jorge,W,1,Pts: 2x0,Rome Open,100KG,SF,2018
15699,9959,Perttu Tepponen,,Tuomas Ylinampa,W,1,Armbar,Rome Open,ABS,R1,2018
15700,9959,Perttu Tepponen,,Bradley Hill,W,1,Pts: 8x4,Rome Open,ABS,4F,2018
16659,9959,Perttu Tepponen,,F. Alano,D,0.5,---,Copa Podio,O94KG,RR,2018
17783,9959,Perttu Tepponen,,Obrad Nedic,W,1,Pts: 2x0,ADCC EU Trials,99KG,8F,2018
17786,9959,Perttu Tepponen,,Lukasz Michaelec,W,1,Kimura,ADCC EU Trials,99KG,4F,2018
17787,9959,Perttu Tepponen,,Andrzej Iwat,W,1,Pts: 3x0,ADCC EU Trials,99KG,SF,2018
17789,9959,Perttu Tepponen,7111,Muslim Patsarigov,W,1,"Pts: 0x0, Pen",ADCC EU Trials,99KG,F,2018
22423,9959,Perttu Tepponen,10698,Matheus Godoy,W,1,Points,Amsterdam Open,100KG,F,2019
22425,9959,Perttu Tepponen,,Oscar Gugala,W,1,Points,Amsterdam Open,ABS,4F,2019
27799,9959,Perttu Tepponen,,Fernando Gijon,W,1,"Pts: 2x2, Pen",ADCC EU Trials,99KG,R1,2021
27801,9959,Perttu Tepponen,,M. Kurbanov,W,1,Pts: 3x0,ADCC EU Trials,99KG,4F,2021
27803,9959,Perttu Tepponen,,D. Olszewski,W,1,RNC,ADCC EU Trials,99KG,SF,2021
27806,9959,Perttu Tepponen,,Samuel Karas,W,1,Pts: 3x0,ADCC EU Trials,99KG,F,2021
30633,9959,Perttu Tepponen,,Mikko Veijonen,W,1,Pts: 8x0,European Open,ABS,R1,2022
30640,9959,Perttu Tepponen,9117,Hygor Brito,W,1,Choke from back,European Open,ABS,8F,2022
36037,9959,Perttu Tepponen,,Jaakko Vilander,W,1,Pts: 14x0,European NG,ABS,R1,2022
36043,9959,Perttu Tepponen,,Roman Nepota,W,1,Pts: 4x0,European NG,ABS,R2,2022
36117,9959,Perttu Tepponen,7519,Eliot Kelly,W,1,Referee Decision,European NG,97KG,4F,2022
36121,9959,Perttu Tepponen,,Paulo Begazo,W,1,RNC,European NG,97KG,SF,2022
